datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,plantSoil,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),Stem diameter,communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Mycorrhizal infection (%),Germination%,NumberofGerminatedSeedlings,Column4,Column5
1,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Sissoo of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,1.63,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,
2,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath C. Siamea of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,con,180 days,,,1.19,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,
3,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,2.23,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,
4,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath A. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,1,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,
5,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath E. Hybrid of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,0.34,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,
6,https://www.jstor.org/stable/24111673,no,greenhouse,Uninoculated control,,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,0,,180 days,,,0.59,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Sissoo of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,2.53,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,,,,
8,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath C. Siamea of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,2.36,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,
9,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,con,180 days,,,2.71,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,,,,
10,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath A. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,2.86,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6,,,,
11,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath E. Hybrid of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,1.42,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,,,,
12,https://www.jstor.org/stable/24111673,no,greenhouse,Uninoculated control,,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,0,,180 days,,,1.38,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10.1890/15-0599.1,soil,mesocosm,Inoculum 1: Soil from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Monoculture of each: Festuca pratensis, Poa pratensis, Onobrychis viciifolia, Trifolium repens, Crepis biennis, Galium mollugo, Plantago lanceolata, Prunella vulgaris",,,1,1,con,15 weeks,,,32.18,7.07,,,,SEM,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Monoculture of each: Festuca pratensis, Poa pratensis, Onobrychis viciifolia, Trifolium repens, Crepis biennis, Galium mollugo, Plantago lanceolata, Prunella vulgaris",,,11,1,hetero,15 weeks,,,25.83,5.43,,,,SEM,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
