datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,Column1,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercErrorN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Comments,Column2,Column3,Column4,Column5
1,10.1038/nplants.2016.107,soil,field,"Top soil removal, inoculum from dry heathland",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,arable farming,Grassland species,,,1,1,hetero,6 years,,,,,,,,,,,,,,0.21,0.05,SE,4,,,,,,,,,,,,,,,,,x,,,,,,
2,10.1038/nplants.2016.107,soil,field,"Top soil removal, inoculum from restored grassland",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,arable farming,Grassland species,,,1,1,con,6 years,,,,,,,,,,,,,,0.13,0.02,SE,4,,,,,,,,,,,,,,,,,x,,,,,,
3,10.1038/nplants.2016.107,no,field,"Top soil removal, control (no inoculum)",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,arable farming,Grassland species,,,1,0,,6 years,,,,,,,,,,,,,,0.07,0.03,SE,4,,,,,,,,,,,,,,,,,x,,,,,,
4,10.1038/nplants.2016.107,soil,mesocosm,"Inoculum from dry heathland, seed mixture",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,,Grassland species,,,2,1,hetero,30 weeks,,,,,,,,,,,,,,0.27,0.05,SE,,,,,,,,,,,,,,,,,,x,,,,,,
5,10.1038/nplants.2016.107,soil,mesocosm,"Inoculum from grassland, seed mixture",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,,Grassland species,,,2,1,con,30 weeks,,,,,,,,,,,,,,0.26,0.03,SE,,,,,,,,,,,,,,,,,,x,,,,,,
6,10.1038/nplants.2016.107,no,mesocosm,"Control, seed mixture (no inoculum)",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,,Grassland species,,,2,0,,30 weeks,,,,,,,,,,,,,,0.11,0.02,SE,,,,,,,,,,,,,,,,,,x,,,,,,
7,10.1038/nplants.2016.107,soil,field,"No topsoil removal, inoculum from grassland",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,arable farming,Grassland species,,,3,1,con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
8,10.1038/nplants.2016.107,no,field,"No topsoil removal, control (no inoculum)",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,arable farming,Grassland species,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
9,10.1038/nplants.2016.107,soil,field,"Top soil removal, inoculum from dry heathland",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,arable farming,Heathland species,,,4,1,con,6 years,,,,,,,,,,,,,,0.16,0.05,SE,4,,,,,,,,,,,,,,,,,x,,,,,,
10,10.1038/nplants.2016.107,soil,field,"Top soil removal, inoculum from restored grassland",,"Netherlands, 52.015° N, 5.777° E",1,"grassland, heathland",grassland,temperate,,backup,,restoration,,arable farming,Heathland species,,,4,1,hetero,6 years,,,,,,,,,,,,,,0.03,0.005,SE,4,,,,,,,,,,,,,,,,,x,,,,,,
