DOI,PMID
10.3389/fpls.2022.993301,36388565
10.1038/srep20469,32560046.5
10.3389/fpls.2018.01726,37367620.2
10.1038/s41598-021-97674-w,34526541.2
10.1890/11-1691.1,35406841.4
10.1038/s41598-019-46743-2,35807693.13
10.1038/s41598-019-50354-2,31575889.3
10.1038/s41598-019-39463-0,33143245.15
10.3389/fpls.2018.01906,30740120
10.1038/s41558019-0545-2,34063150.4
10.3389/fpls.2021.740524,34691116
10.1007/s11104-013-1681-5,35406841.7
10.1038/s41598-021-94092-w,34290277.1
10.3390/plants7030063,30096837.1
10.3389/fmicb.2018.02525,33143245.10
10.1007/s11104-013-1621-4,32046366.3
10.3390/agriculture8010008,35807693.3
10.3389/fpls.2019.00863,35807732.2
10.3389/fpls.2018.00730,32604987.2
10.3390/app9204432,34209987.4
10.3390/agronomy10010104,34068692.4
10.1371/journal.pone.0218969,31242274
10.3389/fpls.2022.1022319,36388606
10.1038/s41598-020-59180-3,35807693.5
10.1111/j.1365-2486.2003.00713.x,35406841.6
10.3390/ijms19082160,30042347
10.21608/agro.2017.662.1058,32604987.19
10.3390/agronomy9060299,35807693.11
10.1038/srep20469,26842958.1
10.3389/fpls.2015.01143,36771633.7
10.1038/s41598-019-50354-2,31575889.1
10.3389/fpls.2016.00548,33143245.12
10.1111/j.1469-8137.2004.01159.x,32046366.6
10.1038/nature06448,35406841.17
10.1111/j.1365-2486.2006.01279.x,32046366.5
10.3390/microorganisms11051113,37317087
10.1016/j.envexpbot.2005.05.011,32110985.2
10.3390/agriculture10040129,34209987.3
10.3390/jof9121152,38132753
10.1007/s10533-015-0169-1,34063150.13
10.1038/s41598-018-29020-6,35807693.7
10.1007/s00572-018-0819-y,29359253
10.3390/plants12244088,38140415
10.3389/fpls.2019.01068,35406841.15
10.3390/plants10122716,34961190.1
10.3389/fmicb.2016.01030,27446063
10.3390/jof7050361,34063150.1
10.3389/fmicb.2023.1184070,37455720
10.3390/su71215799,35406841.14
10.1007/s00442-023-05329-6,36745217
10.3389/fpls.2013.00206,35406841.10
10.3390/toxics11070582,37505548.1
10.1038/s41598-018-24686-4,33121138.3
10.3929/ethz-b-000374879,34576699.2
10.1007/s00572-011-0391-1,21626142
10.3389/fmicb.2014.00682,25538696
10.3389/fpls.2016.01146,32604987.4
10.3389/fpls.2018.00478,35454988.3
10.3389/fpls.2016.00782,35406841.5
10.1007/s00122-010-1501-8,33121138.5
10.3389/fpls.2020.00072,32174929
10.1038/s41598-021-85497-8,33731841.2
10.3389/fpls.2024.1385245,38716338
10.1111/ppl.12676,34063150.8
10.3389/fmicb.2014.00415,34576699.9
10.1038/ismej.2010.5,32326329.9
10.3389/fpls.2018.01156,36771633.4
10.3390/agronomy9070353,37630572.2
10.3390/agronomy9010041,35009090.8
10.1007/s00572-018-0819-y,35630484.3
10.3390/biology12040628,37106828
10.3389/fpls.2022.968719,36247600
10.1038/s41396-018-0059-3,32326329.11
10.1038/srep08122,25631933.3
10.1038/s41396-018-0059-3,32326329.8
10.1134/S1064229316100124,32143469.3
10.3389/fpls.2015.00280,32604987.20
10.1007/s11270-011-0915-5,22389535
10.9755/ejfa.2015-11-1044,36677342.3
10.3389/fpls.2013.00533,31817176.1
10.3390/su71215799,35335116.4
10.3389/fpls.2022.892826,35712598
10.3390/plants12234012,38068648
10.3390/microorganisms12010075,38257902
10.3389/fmicb.2019.02591,31781076
10.1016/j.jhazmat.2017.03.068,32560046.1
10.1007/s11104-013-1681-5,35807693.12
10.1038/s41396-018-0171-4,34576699.11
10.3390/plants9010080,33143245.5
10.1016/j.sajb.2010.05.003,36771633.8
10.3389/fpls.2022.845794,35958223
10.3390/microorganisms11010050,36677342.1
10.1016/j.catena.2016.07.037,34068692.5
10.3390/su71215799,35630484.4
10.3390/ijms13044673,34500751.6
10.3390/agriculture9050110,34579480.6
10.1038/srep19990,30096837.2
10.3390/foods9030365,36422357.4
10.3390/plants9121801,33353122.1
10.1186/s12870-024-05032-5,38698306
10.1371/journal.pone.0128841,26102587
10.3389/fphys.2012.00182,37367613.2
10.1038/s41598-019-51369-5,31619728.1
10.1038/s41598-021-03132-y,34880358.3
10.3390/plants11131743,35807693.1
10.1038/srep08122,25631933.1
10.1038/s41598-020-59447-9,32060306.2
10.3390/jof1010055,29376899.1
10.1016/j.biombioe.2017.10.019,32604987.18
10.1038/s41598-021-03132-y,34880358.1
10.1038/s41467-018-06221-1,32549234.7
10.3389/fmicb.2018.00169,36422357.3
10.3389/fpls.2019.00863,33143245.14
10.1038/ncomms12881,32046366.2
10.1186/s13104-017-3105-8,29291742
10.3390/life12040497,35454988.1
10.1038/s41598-019-46743-2,35807693.16
10.3389/fpls.2019.01068,32326329.2
10.3389/fpls.2016.00102,37505548.3
10.1016/j.crvi.2016.04.009,27180108
10.3390/microorganisms11082012,37630572.1
10.1007/s11104-017-3528-y,34576699.10
10.1371/journal.pone.0259959,34813605
10.1038/ismej.2009.122,32326329.10
10.1371/journal.pone.0090738,24595111
10.1126/science.1084269,34063150.10
10.3389/fpls.2022.898969,35712553
10.1371/journal.pone.0145726,26698576
10.1007/s11104-015-2388-6,35454988.6
10.3389/fmicb.2016.01246,27563299
10.3389/fpls.2017.00141,34576699.7
10.3390/ijerph15010024,34500751.2
10.3390/plants9080975,32752090.1
10.3389/fpls.2022.898378,35720577
10.3389/fpls.2019.01068,35335116.5
10.3389/fpls.2019.00843,31396243
10.3389/fpls.2017.01966,35454988.4
10.1007/s10886-010-9868-1,35406841.11
10.1038/s41598-019-41671-7,34068692.8
10.1038/ncomms12881,32046366.7
10.3390/plants11010089,35009090.1
10.1186/s12864-022-08797-x,36199042
10.3389/fpls.2018.01046,30073011
10.3389/fpls.2013.00338,24046771
10.3390/plants12051184,36904044
10.3390/plants11070861,35406841.1
10.1038/s41598-022-17075-5,35879523.2
10.3389/fpls.2015.00786,35406841.16
10.3389/fmicb.2017.02516,36422357.8
10.3389/fpls.2024.1364469,38716345
10.3389/fpls.2016.00730,32604987.9
10.3389/fpls.2017.00517,28443111
10.1007/s11104-015-2388-6,35406841.13
10.1007/s13201-018-0796-5,36771633.3
10.3389/fpls.2015.00081,32752090.2
10.1007/s13593-011-0029x,35630484.5
10.3390/plants7040080,32604987.7
10.3389/fpls.2018.01611,30505312
10.3389/fpls.2017.00817,35454988.10
10.1111/j.1469-8137.2004.01159.x,34063150.5
10.3389/fmicb.2016.01030,31817176.2
10.1111/j.1469-8137.2012.04348.x,36079657.3
10.3390/molecules26175321,34500751.1
10.3390/toxics10100565,36287845
10.3390/microorganisms7120706,34579480.4
10.1007/s00572-024-01139-7,38441668
10.1038/nature06448,35406841.8
10.1038/s41598-021-94092-w,34290277.2
10.3389/fpls.2018.01705,35009090.2
10.1007/s00572-012-0453-z,34579480.5
10.3389/fmicb.2023.1131797,37333653
10.3389/fpls.2015.00786,35807693.10
10.3390/ijms20051104,36771633.5
10.3390/plants11172276,36079657.1
10.3389/fpls.2016.01088,32244390.1
10.3389/fmicb.2017.00719,32326329.6
10.1038/srep21805,26892768.1
10.3389/fpls.2024.1303750,38390295
10.3390/plants10071333,34209987.1
10.3389/fpls.2018.01655,35807693.9
