ncbi_api_key, f2857b2abca3fe365c756aeb647e06417b08
query, (mycorrhiz*) AND ((soil inocul*) OR (whole soil inocul*) OR (soil transplant*) OR (whole community transplant*)) AND biomass NOT review
cache_dir, ./../papers/
doi_save,  ./../output/all_DOIs.csv
label_studio_url, http://localhost:8080
ls_api_key, 45d69e3e9c859f4583dd42e5246f346e509a0a8e
project_id, 3
label_config_xml, ./label_config.xml
ntasks, 20
latest_labels, ./../label_studio_projects/fulltext/
pdf_save_dir, ./../papers/
model_save_dir, ./../models/custom_sci_abs_met_v382
model_load_dir, ./../models/custom_sci_abs_met_v382
response_table, ./../output/extract_from_text2.csv
results_keywords, results_keywords.csv
sections_wanted, methods
