"","study_id","ECOREGION"
"1","10.1080/12298093.2024.2360750",NA
"2","10.1093/jambio/lxae161",NA
"3","10.1016/j.scitotenv.2024.173975","semi-arid arid"
"4","10.1016/j.scitotenv.2024.173552",NA
"5","10.1002/ece3.11442","southern hemisphere"
"6","10.1007/s42770-024-01390-2",NA
"7","10.1007/s00572-024-01151-x",NA
"8","10.1080/15226514.2024.2353389",NA
"9","10.1016/j.heliyon.2024.e30484",NA
"10","10.1093/hr/uhae067",NA
"11","10.3389/fpls.2024.1364469",NA
"12","10.3389/fpls.2024.1385245",NA
"13","10.1186/s12870-024-05032-5",NA
"14","10.3389/fmicb.2024.1288865",NA
"15","10.1016/j.micres.2024.127708",NA
"16","10.1007/s00284-024-03662-4",NA
"17","10.1016/j.crmicr.2024.100229",NA
"18","10.1590/1519-6984.276160",NA
"19","10.1016/j.jenvman.2024.120673","terrestrial ecosystem"
"20","10.1016/j.jenvman.2024.120673"," terrestrial ecosystems"
"21","10.1093/treephys/tpae029",NA
"22","10.1007/s11356-024-32755-7",NA
"23","10.1007/s00572-024-01139-7",NA
"24","10.1111/ppl.14205",NA
"25","10.1016/j.ecoenv.2024.116157",NA
"26","10.1128/spectrum.03427-23",NA
"27","10.1080/15226514.2024.2315471",NA
"28","10.3389/fpls.2024.1303750",NA
"29","10.1016/j.heliyon.2024.e24820","arid regions"
"30","10.1016/j.scitotenv.2024.170417",NA
"31","10.3390/microorganisms12010075","this agroecosystem"
"32","10.1007/s11356-024-31870-9",NA
"33","10.1002/jobm.202300424",NA
"34","10.1007/s12298-023-01369-7",NA
"35","10.1007/s10123-023-00466-7",NA
"36","10.1111/nph.19493",NA
"37","10.3390/plants12244171",NA
"38","10.3390/plants12244088","mesoclimatic"
"39","10.3390/jof9121152",NA
"40","10.3390/plants12234012",NA
"41","10.1111/pce.14771",NA
"42","10.1016/j.jenvman.2023.119509",NA
"43","10.1016/j.envpol.2023.122841",NA
"44","10.1007/s10886-023-01455-w",NA
"45","10.3390/jof9100977",NA
"46","10.1007/s13205-023-03793-8",NA
"47","10.1093/treephys/tpad130",NA
"48","10.3390/plants12193426",NA
"49","10.1007/s00572-023-01126-4",NA
"50","10.1016/j.envres.2023.117219",NA
"51","10.1016/j.scitotenv.2023.167289",NA
"52","10.7717/peerj.15686",NA
"53","10.1016/j.ecoenv.2023.115458",NA
"54","10.3389/fpls.2023.1206047",NA
"55","10.3390/microorganisms11082012",NA
"56","10.3389/fpls.2023.1222557",NA
