"","study_id","ECOTYPE"
"1","10.1080/12298093.2024.2360750","terminalia arjuna"
"2","10.1080/12298093.2024.2360750"," t. arjuna"
"3","10.1093/jambio/lxae161","vitis vinifera"
"4","10.1093/jambio/lxae161"," wine grapes"
"5","10.1016/j.scitotenv.2024.173975","dryland"
"6","10.1016/j.scitotenv.2024.173975"," arid farmlands"
"7","10.1016/j.scitotenv.2024.173975"," maize"
"8","10.1016/j.scitotenv.2024.173975"," drylands"
"9","10.1016/j.scitotenv.2024.173552","medicago sativa"
"10","10.1016/j.scitotenv.2024.173552"," alfalfa"
"11","10.1016/j.scitotenv.2024.173552"," leguminous plants"
"12","10.1002/ece3.11442","nothofagus leptospermum"
"13","10.1002/ece3.11442"," nothofagaceae"
"14","10.1002/ece3.11442"," myrtaceae"
"15","10.1002/ece3.11442"," leptospermum species"
"16","10.1002/ece3.11442"," nothofagus cliffortioides"
"17","10.1002/ece3.11442"," nothofagus"
"18","10.1002/ece3.11442"," pioneer"
"19","10.1002/ece3.11442"," southern beech"
"20","10.1002/ece3.11442"," mountain beech"
"21","10.1007/s42770-024-01390-2","crotalaria juncea"
"22","10.1007/s42770-024-01390-2"," guianensis andropogon gayanus repens"
"23","10.1007/s42770-024-01390-2"," andropogon gayanus"
"24","10.1007/s42770-024-01390-2"," gayanus trifolium repens"
"25","10.1007/s42770-024-01390-2"," lablab purpureus"
"26","10.1007/s42770-024-01390-2"," stylosanthes guianensis"
"27","10.1007/s42770-024-01390-2"," poaceae"
"28","10.1007/s42770-024-01390-2"," crotalaria"
"29","10.1007/s42770-024-01390-2"," stylosanthes guianensis gayanus"
"30","10.1007/s42770-024-01390-2"," trifolium repens"
"31","10.1007/s42770-024-01390-2"," pioneer plant"
"32","10.1007/s42770-024-01390-2"," paspalum notatum"
"33","10.1007/s42770-024-01390-2"," neonotonia wightii"
"34","10.1007/s42770-024-01390-2"," pioneer species"
"35","10.1007/s00572-024-01151-x","aleppo pine"
"36","10.1080/15226514.2024.2353389","senecio"
"37","10.1080/15226514.2024.2353389"," bonariensis plants"
"38","10.1080/15226514.2024.2353389"," bonariensis s."
"39","10.1016/j.heliyon.2024.e30484","erythrina brucei"
"40","10.1016/j.heliyon.2024.e30484"," e. brucei"
"41","10.1016/j.heliyon.2024.e30484"," e.brucei"
"42","10.1093/hr/uhae067","soybean p-efficiency transgenic"
"43","10.1093/hr/uhae067"," soybean"
"44","10.1093/hr/uhae067"," soybean p-efficiency higher"
"45","10.3389/fpls.2024.1364469","pennisetum"
"46","10.3389/fpls.2024.1364469"," pearl millet"
"47","10.3389/fpls.2024.1364469"," millet"
"48","10.3389/fpls.2024.1364469"," glaucum"
"49","10.3389/fpls.2024.1385245","melon plants"
"50","10.1186/s12870-024-05032-5","wheat soil"
"51","10.1186/s12870-024-05032-5"," wheat"
"52","10.3389/fmicb.2024.1288865","apple"
"53","10.3389/fmicb.2024.1288865"," apple plants"
"54","10.1016/j.micres.2024.127708","maize"
"55","10.1007/s00284-024-03662-4","sorghum"
"56","10.1007/s00284-024-03662-4"," soybean"
"57","10.1016/j.crmicr.2024.100229","rice"
"58","10.1590/1519-6984.276160","peltophorum dubium"
"59","10.1590/1519-6984.276160"," p. dubium"
"60","10.1016/j.jenvman.2024.120673",NA
"61","10.1093/treephys/tpae029","scots pine"
"62","10.1093/treephys/tpae029"," pinus sylvestris"
"63","10.1007/s11356-024-32755-7",NA
"64","10.1007/s00572-024-01139-7","tomato plants"
"65","10.1111/ppl.14205","robinia"
"66","10.1111/ppl.14205"," pseudoacacia"
"67","10.1111/ppl.14205"," black locust"
"68","10.1016/j.ecoenv.2024.116157","i. tectorum"
"69","10.1016/j.ecoenv.2024.116157"," iris tectorum"
"70","10.1016/j.ecoenv.2024.116157"," wetland"
"71","10.1128/spectrum.03427-23","zea mays"
"72","10.1128/spectrum.03427-23"," maize"
"73","10.1080/15226514.2024.2315471","atlantic forest"
"74","10.1080/15226514.2024.2315471"," riparian"
"75","10.1080/15226514.2024.2315471"," fundão"
"76","10.3389/fpls.2024.1303750","a meadow lowland mixed"
"77","10.3389/fpls.2024.1303750"," lowland meadows"
"78","10.3389/fpls.2024.1303750"," meadows mixed"
"79","10.3389/fpls.2024.1303750"," meadow lowland"
"80","10.1016/j.heliyon.2024.e24820","vetch narbonne"
"81","10.1016/j.heliyon.2024.e24820"," vicia"
"82","10.1016/j.heliyon.2024.e24820"," vetch cv"
"83","10.1016/j.heliyon.2024.e24820"," narbonensis"
"84","10.1016/j.heliyon.2024.e24820"," vetch narbonne nv"
"85","10.1016/j.heliyon.2024.e24820"," common vetch"
"86","10.1016/j.heliyon.2024.e24820"," sativa"
"87","10.1016/j.heliyon.2024.e24820"," vetch"
"88","10.1016/j.heliyon.2024.e24820"," vetch nv"
"89","10.1016/j.scitotenv.2024.170417","zea mays"
"90","10.1016/j.scitotenv.2024.170417"," maize"
"91","10.1016/j.scitotenv.2024.170417"," maize l."
"92","10.3390/microorganisms12010075","wheat wheat associated"
"93","10.3390/microorganisms12010075"," wheat weeds"
"94","10.3390/microorganisms12010075"," wheat associated"
"95","10.3390/microorganisms12010075"," an organic winter wheat field"
"96","10.3390/microorganisms12010075"," wheat wheat"
"97","10.3390/microorganisms12010075"," t. durum"
"98","10.3390/microorganisms12010075"," medicago sativa"
"99","10.3390/microorganisms12010075"," wheat"
"100","10.3390/microorganisms12010075"," triticum durum"
"101","10.1007/s11356-024-31870-9","ligustrum lucidum"
"102","10.1007/s11356-024-31870-9"," lucidum"
"103","10.1002/jobm.202300424","amaranth"
"104","10.1002/jobm.202300424"," amaranth plants"
"105","10.1007/s12298-023-01369-7","white clover"
"106","10.1007/s12298-023-01369-7"," trifolium"
"107","10.1007/s12298-023-01369-7"," repens"
"108","10.1007/s10123-023-00466-7","cassava"
"109","10.1111/nph.19493","wheat"
"110","10.1111/nph.19493"," wheat inoculated"
"111","10.3390/plants12244171","solanum tuberosum"
"112","10.3390/plants12244171"," potato plants"
"113","10.3390/plants12244171"," potato"
"114","10.3390/plants12244088","grassland"
"115","10.3390/plants12244088"," lawn"
"116","10.3390/plants12244088"," grasslands lawns"
"117","10.3390/jof9121152","rice"
"118","10.3390/plants12234012","oenothera picensis"
"119","10.1111/pce.14771","cultivated tomato lycopersicum"
"120","10.1111/pce.14771"," solanum habrochaites  "
"121","10.1111/pce.14771"," solanum lycopersicum"
"122","10.1111/pce.14771"," pimpinellifolium"
"123","10.1111/pce.14771"," solanum"
"124","10.1111/pce.14771"," solanum habrochaites"
"125","10.1111/pce.14771"," peruvianum s."
"126","10.1111/pce.14771"," solanum peruvianum"
"127","10.1111/pce.14771"," solanum tomato lycopersicum"
"128","10.1111/pce.14771"," tomatoes"
"129","10.1016/j.jenvman.2023.119509","degraded grassland"
"130","10.1016/j.jenvman.2023.119509"," grassland"
"131","10.1016/j.envpol.2023.122841","iris tectorum"
"132","10.1016/j.envpol.2023.122841"," wetland"
"133","10.1016/j.envpol.2023.122841"," wetlands"
"134","10.1016/j.envpol.2023.122841"," i. tectorum"
"135","10.1016/j.envpol.2023.122841"," wetlands as-contaminated"
"136","10.1007/s10886-023-01455-w","tomato plants"
"137","10.1007/s10886-023-01455-w"," tomato plants"
"138","10.1007/s10886-023-01455-w"," solanum"
"139","10.1007/s10886-023-01455-w"," lycopersicum"
"140","10.1007/s10886-023-01455-w"," tomato"
"141","10.3390/jof9100977","oleifera c."
"142","10.3390/jof9100977"," camellia oleifera"
"143","10.1007/s13205-023-03793-8","maize"
"144","10.1093/treephys/tpad130","forest ecosystems"
"145","10.1093/treephys/tpad130"," pseudoacacia r. properties"
"146","10.1093/treephys/tpad130"," robinia pseudoacacia"
"147","10.3390/plants12193426","peanut l."
"148","10.3390/plants12193426"," peanut inoculated"
"149","10.3390/plants12193426"," the peanut rhizosphere"
"150","10.3390/plants12193426"," peanut rhizosphere"
"151","10.3390/plants12193426"," hypogaea"
"152","10.3390/plants12193426"," peanuts"
"153","10.3390/plants12193426"," arachis"
"154","10.3390/plants12193426"," peanut"
"155","10.1007/s00572-023-01126-4","wheat soybean"
"156","10.1007/s00572-023-01126-4"," maize wheat soybean"
"157","10.1007/s00572-023-01126-4"," maize"
"158","10.1007/s00572-023-01126-4"," maize wheat"
"159","10.1016/j.envres.2023.117219","soybean"
"160","10.1016/j.scitotenv.2023.167289","medicago sativa"
"161","10.7717/peerj.15686","wheat"
"162","10.7717/peerj.15686"," hay"
"163","10.1016/j.ecoenv.2023.115458","panyu 3 ludan 8 capacities"
"164","10.1016/j.ecoenv.2023.115458"," panyu ludan 8"
"165","10.1016/j.ecoenv.2023.115458"," panyu 3 ludan 8"
"166","10.1016/j.ecoenv.2023.115458"," maize ludan 8"
"167","10.1016/j.ecoenv.2023.115458"," maize"
"168","10.1016/j.ecoenv.2023.115458"," maize panyu"
"169","10.1016/j.ecoenv.2023.115458"," maize panyu 3"
"170","10.1016/j.ecoenv.2023.115458"," panyu 3"
"171","10.1016/j.ecoenv.2023.115458"," maize ludan"
"172","10.3389/fpls.2023.1206047","plants walnut co-cultivated"
"173","10.3389/fpls.2023.1206047"," walnut"
"174","10.3389/fpls.2023.1206047"," walnut roots"
"175","10.3389/fpls.2023.1206047"," walnut trees"
"176","10.3389/fpls.2023.1206047"," maize"
"177","10.3389/fpls.2023.1206047"," agroforestry"
"178","10.3389/fpls.2023.1206047"," juglans"
"179","10.3389/fpls.2023.1206047"," mycorrhizal walnuts"
"180","10.3390/microorganisms11082012","tomato"
"181","10.3390/microorganisms11082012"," crop"
"182","10.3390/microorganisms11082012"," tomato varieties"
"183","10.3390/microorganisms11082012"," tomatoes fungi-inoculated"
"184","10.3390/microorganisms11082012"," pepper productivity"
"185","10.3390/microorganisms11082012"," pepper"
"186","10.3390/microorganisms11082012"," tomatoes"
"187","10.3389/fpls.2023.1222557","onion grown"
"188","10.3389/fpls.2023.1222557"," onion"
"189","10.3389/fpls.2023.1222557"," onion cultivated"
"190","10.3390/toxics11070582","paspalum vaginatum"
"191","10.3390/toxics11070582"," pennisetum alopecuroides"
"192","10.1111/gcb.16886",NA
"193","10.1093/aob/mcad095","lake-wetland"
"194","10.1093/aob/mcad095"," wetland subtropical"
"195","10.1093/aob/mcad095"," wetland"
"196","10.1093/aob/mcad095"," carex thunbergii"
"197","10.3389/fmicb.2023.1184070","trifolium"
"198","10.3389/fmicb.2023.1184070"," repens"
"199","10.3389/fmicb.2023.1184070"," populus nigra"
"200","10.3389/fmicb.2023.1184070"," p. nigra"
"201","10.1016/j.envpol.2023.122146","zea mays"
"202","10.1016/j.envpol.2023.122146"," maize"
"203","10.3390/jof9060684","pseudoacacia r."
"204","10.3390/jof9060684"," robinia"
"205","10.3390/jof9060684"," pseudoacacia"
"206","10.3390/jof9060684"," black locust"
"207","10.3390/jof9060677","zea mays"
"208","10.3390/jof9060677"," maize"
"209","10.3390/jof9060677"," maize l."
"210","10.1016/j.scitotenv.2023.164970","i. tectorum"
"211","10.1016/j.scitotenv.2023.164970"," iris tectorum"
"212","10.1016/j.scitotenv.2023.164970"," wetland"
"213","10.3389/fmicb.2023.1131797","ageratina adenophora"
"214","10.3389/fmicb.2023.1131797"," rabdosia amethystoides"
"215","10.3389/fmicb.2023.1131797"," amethystoides r."
"216","10.3389/fmicb.2023.1131797"," adenophora a. mixture"
"217","10.3389/fmicb.2023.1131797"," adenophora a."
"218","10.3389/fmicb.2023.1131797"," adenophora amethystoides a."
"219","10.3389/fmicb.2023.1131797"," adenophora amethystoides r."
"220","10.3389/fpls.2023.1134995","imperata cylindrica"
"221","10.3389/fpls.2023.1134995"," i. cylindrica"
"222","10.3390/microorganisms11051144","maize"
"223","10.3390/microorganisms11051113","ventenata dubia"
"224","10.3390/microorganisms11051113"," sagebrush steppe"
"225","10.3390/microorganisms11051113"," pseudoroegneria spicata"
"226","10.3390/microorganisms11051113"," v. dubia"
"227","10.3390/microorganisms11051113"," p. spicata"
"228","10.3390/microorganisms11051113"," t. caput-medusae"
"229","10.3390/microorganisms11051113"," taeniatherum caput-medusae"
"230","10.3390/plants12112195","plant eupatorium adenophorum lindleyanum"
"231","10.3390/plants12112195"," e. adenophorum"
"232","10.3390/plants12112195"," eupatorium adenophorum"
"233","10.3390/plants12112195"," eupatorium lindleyanum"
"234","10.3390/plants12112195"," e. lindleyanum"
"235","10.3390/life13051118","sustainable rice"
"236","10.3390/life13051118"," rice aerobic"
"237","10.3390/life13051118"," rice"
"238","10.3390/jof9050540","bellucia imperialis"
"239","10.3390/jof9050540"," pioneer"
"240","10.3390/jof9050540"," imperialis b."
"241","10.3390/jof9050540"," p. b."
"242","10.3390/plants12091908","barley"
"243","10.1093/treephys/tpad064","populus"
"244","10.3390/jof9040479","maize"
"245","10.3390/biology12040628","t. melanosporum"
"246","10.3390/biology12040628"," intercropping"
"247","10.3390/biology12040628"," truffle"
"248","10.3390/biology12040628"," lavender thyme"
"249","10.3390/biology12040628"," lavender sage"
"250","10.3390/biology12040628"," truffle-oaks'"
"251","10.3390/biology12040628"," truffle-oaks"
"252","10.3390/biology12040628"," black truffle"
"253","10.3390/biology12040628"," lavender thyme sage"
"254","10.1186/s12284-023-00635-2","rice"
"255","10.1016/j.ecoenv.2023.114776","rice"
"256","10.1016/j.ecoenv.2023.114776"," rice the itself"
"257","10.1016/j.ecoenv.2023.114776"," rice the"
"258","10.1016/j.micres.2023.127350","maize"
"259","10.3389/fpls.2023.1140467","regia"
"260","10.3389/fpls.2023.1140467"," juglans regia"
"261","10.3389/fpls.2023.1140467"," walnut"
"262","10.3389/fpls.2023.1140467"," walnut juglans regia"
"263","10.3389/fpls.2023.1140467"," nut"
"264","10.3389/fpls.2023.1140467"," walnut regia"
"265","10.3389/fpls.2023.1140467"," diversispora spurca"
"266","10.3390/plants12051184","grassland"
"267","10.3390/plants12051184"," prairie"
"268","10.3390/plants12051184"," nearby tallgrass prairie"
"269","10.3390/plants12051184"," setaria faberi"
"270","10.3390/plants12051184"," grass faberi"
"271","10.3390/plants12051184"," the non-native grass faberi s."
"272","10.3390/plants12051184"," a non-native grass"
"273","10.1186/s12870-023-04111-3","walnut juglans regia"
"274","10.1186/s12870-023-04111-3"," juglans regia"
"275","10.1186/s12870-023-04111-3"," walnut"
"276","10.1186/s12870-023-04111-3"," walnut regia"
"277","10.1186/s12870-023-04111-3"," walnuts"
"278","10.3389/fpls.2023.1101932","artemisia ordosica"
"279","10.3389/fpls.2023.1101932"," chrysolina aeruginosa"
"280","10.3390/plants12030547","medicago truncatula"
"281","10.1007/s00442-023-05329-6","cirsium vulgare"
"282","10.1007/s00442-023-05329-6"," non-invasive c. oleraceum"
"283","10.3390/microorganisms11010050","sagebrush steppe"
"284","10.3390/microorganisms11010050"," artemisia nova"
"285","10.3390/microorganisms11010050"," nova a."
"286","10.3390/microorganisms11010050"," artemisia plants"
"287","10.3390/microorganisms11010050"," artemisia spp"
"288","10.3390/microorganisms11010050"," artemisia tridentata"
"289","10.3390/microorganisms11010050"," the genus artemisia"
"290","10.3390/microorganisms11010050"," tridentata ssp"
"291","10.3390/microorganisms11010050"," t. caput-medusae"
"292","10.3390/microorganisms11010050"," taeniatherum caput-medusae"
"293","10.3390/microorganisms11010050"," artemisia arbuscula"
"294","10.1007/s00284-022-03145-4","trifolium repens"
"295","10.1007/s00284-022-03145-4"," medicago falcata"
"296","10.1007/s00284-022-03145-4"," medicago sativa"
"297","10.1007/s00284-022-03145-4"," trifolium alexandrinum"
"298","10.1007/s00284-022-03145-4"," trifolium repens alexandrinum"
"299","10.1016/j.scitotenv.2022.160616","grassland"
"300","10.1016/j.scitotenv.2022.160616"," forest"
"301","10.1016/j.scitotenv.2022.160616"," b. platyphylla"
"302","10.1016/j.scitotenv.2022.160616"," betula platyphylla"
"303","10.1016/j.scitotenv.2022.160616"," picea asperata"
"304","10.1016/j.scitotenv.2022.160616"," b. albosinensis"
"305","10.1016/j.scitotenv.2022.160616"," subalpine forest"
"306","10.1016/j.scitotenv.2022.160616"," betula albosinensis"
"307","10.1016/j.scitotenv.2022.160616"," pioneer broadleaf"
"308","10.1016/j.scitotenv.2022.160616"," abies faxoniana"
"309","10.1016/j.scitotenv.2022.160616"," pioneer"
"310","10.1016/j.scitotenv.2022.160616"," nonpioneer"
"311","10.1016/j.scitotenv.2022.160616"," coniferous tree"
"312","10.1016/j.scitotenv.2022.160550","glacier forelands"
"313","10.3390/microorganisms10112287","coriander cd immobilization"
"314","10.3390/microorganisms10112287"," coriandrum"
"315","10.3390/microorganisms10112287"," sativum"
"316","10.3390/microorganisms10112287"," coriander l."
"317","10.3390/microorganisms10112287"," sativum c."
"318","10.3389/fpls.2022.1022319","sunchoke"
"319","10.3389/fpls.2022.1022319"," sunchoke"
"320","10.3389/fpls.2022.1022319"," helianthus tuberosus"
"321","10.3389/fpls.2022.993301","x populus trichocarpa populus maximowiczii"
"322","10.3389/fpls.2022.993301"," poplar"
"323","10.3389/fpls.2022.993301"," populus trichocarpa populus"
"324","10.3389/fpls.2022.993301"," poplar maximowiczii"
"325","10.1007/s11356-022-23919-4","pudica m."
"326","10.1007/s11356-022-23919-4"," medicinal plants"
"327","10.1016/j.chemosphere.2022.137106","lygeum spartum"
"328","10.1016/j.chemosphere.2022.137106"," semiarid"
"329","10.1007/s00248-022-02132-3","zea mays"
"330","10.1007/s00248-022-02132-3"," z. mays"
"331","10.3389/fpls.2022.1015947","ageratina adenophora"
"332","10.3389/fpls.2022.1015947"," adenophora the a."
"333","10.3389/fpls.2022.1015947"," adenophora a. etunicatum"
"334","10.3389/fpls.2022.1015947"," adenophora a."
"335","10.3389/fpls.2022.1015947"," aphis gossypii"
"336","10.3390/toxics10100574","zea mays"
"337","10.3390/toxics10100574"," p. vittata"
"338","10.3390/toxics10100574"," pterisvittata"
"339","10.3390/toxics10100574"," maize"
"340","10.3390/toxics10100574"," l. maize"
"341","10.3390/toxics10100574"," vittata maize"
"342","10.3390/toxics10100574"," vittata maize grown"
"343","10.3390/toxics10100565","soybean"
"344","10.3390/toxics10100565"," soybean inoculated"
"345","10.3390/toxics10100565"," soybean"
"346","10.3390/toxics10100565"," glycine"
"347","10.1080/15592324.2022.2134676","medicago truncatula"
"348","10.1186/s12870-022-03790-8","triticum"
"349","10.1186/s12870-022-03790-8"," aestivum"
"350","10.1186/s12870-022-03790-8"," wheat"
"351","10.3389/fpls.2022.968719","pilosa b."
"352","10.3389/fpls.2022.968719"," karst ecosystems"
"353","10.3389/fpls.2022.968719"," bidens pilosa"
"354","10.1186/s12864-022-08797-x","lowland upland"
"355","10.1186/s12864-022-08797-x"," lowland upland hybrids genotypes"
"356","10.1186/s12864-022-08797-x"," lowland"
"357","10.1186/s12864-022-08797-x"," am colonized switchgrass virgatum"
"358","10.1186/s12864-022-08797-x"," panicum virgatum"
"359","10.1186/s12864-022-08797-x"," upland"
"360","10.1016/j.envpol.2022.120309","cannabis sativa"
"361","10.3389/fmicb.2022.1006140","polygonum cuspidatum"
"362","10.3389/fmicb.2022.1006140"," p. cuspidatum"
"363","10.3390/plants11172276","grassland"
"364","10.3390/plants11172276"," grasslands"
"365","10.3389/fpls.2022.965576","a species calamagrostis epigejos"
"366","10.3389/fpls.2022.965576"," daucus carota"
"367","10.3389/fpls.2022.965576"," carota d."
"368","10.3389/fpls.2022.965576"," epigejos c."
"369","10.3389/fpls.2022.965576"," a carota native d. epigejos"
"370","10.1007/s11356-022-22540-9","phragmites australis"
"371","10.1007/s11356-022-22540-9"," phragmites australis australis trin"
"372","10.3389/fpls.2022.845794","prolifer r."
"373","10.3389/fpls.2022.845794"," cannabis sativa"
"374","10.3389/fpls.2022.845794"," cannabis"
"375","10.3389/fpls.2022.947547","soybean"
"376","10.3389/fpls.2022.947547"," amf soybean"
"377","10.3389/fmicb.2022.827293","midwestern tallgrass prairies"
"378","10.3389/fmicb.2022.827293"," a prairie nearby unplowed"
"379","10.3389/fmicb.2022.827293"," tallgrass prairie"
"380","10.3390/plants11141860","alnus alnobetula"
"381","10.3390/plants11141860"," alnobetula subsp"
"382","10.3390/plants11141860"," frankia-inoculated plants"
"383","10.3390/plants11141860"," crispa with"
"384","10.1038/s41598-022-17075-5","olive"
"385","10.1038/s41598-022-17075-5"," wheat"
"386","10.1038/s41396-022-01293-w","conyza plants"
"387","10.1038/s41396-022-01293-w"," conyza canadensis"
"388","10.1002/fes3.370","cadenza"
"389","10.1002/fes3.370"," avalon"
"390","10.1002/fes3.370"," aestivum"
"391","10.1002/fes3.370"," wheat l."
"392","10.1002/fes3.370"," wheat"
"393","10.1002/fes3.370"," triticum"
"394","10.3390/plants11131780","esculenta"
"395","10.3390/plants11131780"," colocasia esculenta"
"396","10.3390/plants11131780"," taro"
"397","10.3390/plants11131780"," taro cv"
"398","10.3390/plants11131780"," schott cv"
"399","10.3390/plants11131743","tomato"
"400","10.3390/plants11131743"," solanum"
"401","10.3390/plants11131743"," tomatoes l."
"402","10.3390/plants11131743"," lycopersicum"
"403","10.1016/j.envpol.2022.119661","maize"
"404","10.3389/fpls.2022.898378","lycium ruthenicum"
"405","10.3389/fpls.2022.898378"," ruthenicum l."
"406","10.3389/fpls.2022.898378"," drylands"
"407","10.3389/fpls.2022.898378"," ruthenicum plants"
"408","10.3389/fpls.2022.892826","p. putida"
"409","10.3389/fpls.2022.892826"," (semi-)arid"
"410","10.3389/fpls.2022.892826"," myrtus communis"
"411","10.3389/fpls.2022.892826"," myrtle future-proofing"
"412","10.3389/fpls.2022.892826"," evergreen shrub"
"413","10.3389/fpls.2022.892826"," common myrtle"
"414","10.3389/fpls.2022.892826"," myrtle"
"415","10.3389/fpls.2022.898969","elymus nutans"
"416","10.3389/fpls.2022.898969"," forage grasses"
"417","10.3389/fpls.2022.898969"," terrestrial plants"
"418","10.3389/fpls.2022.898969"," gramineous"
"419","10.1016/j.plantsci.2022.111308","tomato >"
"420","10.1016/j.plantsci.2022.111308"," tangerine tomato"
"421","10.1016/j.plantsci.2022.111308"," microtom tangerine"
"422","10.1016/j.plantsci.2022.111308"," red tomatoes"
"423","10.3389/fmicb.2022.881442","wheat"
"424","10.3389/fmicb.2022.881442"," acaulospora"
"425","10.1016/j.jhazmat.2022.129077","croplands"
"426","10.1016/j.jhazmat.2022.129077"," alfalfa plants"
"427","10.1016/j.jhazmat.2022.129077"," alfalfa"
"428","10.3390/microorganisms10051042","zea"
"429","10.3390/microorganisms10051042"," t. longibrachiatum"
"430","10.3390/microorganisms10051042"," non-inoculated maize l."
"431","10.3390/microorganisms10051042"," maize"
"432","10.3390/microorganisms10051042"," dual-inoculated maize"
"433","10.3389/fpls.2022.880181","bidens tripartita"
"434","10.3389/fpls.2022.880181"," karst region"
"435","10.1007/s11356-022-19838-z","maize"
"436","10.1080/15226514.2022.2071832","tall fescue"
"437","10.1371/journal.pone.0266526","setaria"
"438","10.1371/journal.pone.0266526"," bidens tripartita"
"439","10.1371/journal.pone.0266526"," bidens pilosa"
"440","10.1371/journal.pone.0266526"," pioneer plants"
"441","10.1371/journal.pone.0266526"," karst habitat"
"442","10.1371/journal.pone.0266526"," arthraxon hispidus"
"443","10.1371/journal.pone.0266526"," viridis"
"444","10.1371/journal.pone.0266526"," gramineae"
"445","10.1371/journal.pone.0266526"," karst"
