"","study_id","INOCTYPE"
"1","10.1080/12298093.2024.2360750","arbuscular mycorrhizal fungi (amf)"
"2","10.1093/jambio/lxae161","local am fungal inoculants"
"3","10.1093/jambio/lxae161"," commercially available mycorrhizal inoculant"
"4","10.1093/jambio/lxae161"," arbuscular mycorrhizal fungal (am)"
"5","10.1093/jambio/lxae161"," local inoculants"
"6","10.1093/jambio/lxae161"," fungal inoculants"
"7","10.1093/jambio/lxae161"," locally collected whole soil inoculants"
"8","10.1016/j.scitotenv.2024.173975","amf inoculation"
"9","10.1016/j.scitotenv.2024.173975"," mosseae f."
"10","10.1016/j.scitotenv.2024.173975"," mosseae f. dominated"
"11","10.1016/j.scitotenv.2024.173975"," amf funneliformis funneliformis mosseae"
"12","10.1016/j.scitotenv.2024.173975"," arbuscular mycorrhizal fungi (amf)"
"13","10.1016/j.scitotenv.2024.173975"," amf funneliformis mosseae"
"14","10.1016/j.scitotenv.2024.173552","amf inoculants"
"15","10.1016/j.scitotenv.2024.173552"," arbuscular mycorrhizal fungi (amf)"
"16","10.1002/ece3.11442","leptospermum inoculum"
"17","10.1002/ece3.11442"," home soil inoculum"
"18","10.1002/ece3.11442"," soil fungal inoculum"
"19","10.1002/ece3.11442"," home inoculum"
"20","10.1002/ece3.11442"," leptospermum ectomycorrhizal fungi"
"21","10.1007/s42770-024-01390-2","plant growth-promoting bacteria"
"22","10.1007/s42770-024-01390-2"," brasilense a."
"23","10.1007/s42770-024-01390-2"," intraradices brasilense a."
"24","10.1007/s42770-024-01390-2"," azospirillum brasilense"
"25","10.1007/s42770-024-01390-2"," intraradices r."
"26","10.1007/s42770-024-01390-2"," intraradices brasilense r."
"27","10.1007/s42770-024-01390-2"," arbuscular mycorrhizal fungi"
"28","10.1007/s42770-024-01390-2"," rhizophagus intraradices"
"29","10.1007/s00572-024-01151-x","ectomycorrhizal fungi (emf) inoculum"
"30","10.1007/s00572-024-01151-x"," geopora genus"
"31","10.1007/s00572-024-01151-x"," ectomycorrhizal inoculation"
"32","10.1080/15226514.2024.2353389","intraradices strains"
"33","10.1080/15226514.2024.2353389"," rhizophagus strains"
"34","10.1080/15226514.2024.2353389"," arbuscular mycorrhizal fungi (amf)"
"35","10.1080/15226514.2024.2353389"," rhizophagus intraradices strains isolated from soils isolated"
"36","10.1016/j.heliyon.2024.e30484","rhizobia plant-beneficial microbes"
"37","10.1016/j.heliyon.2024.e30484"," bradyrhizobium shewense"
"38","10.1016/j.heliyon.2024.e30484"," indigenous rhizobia"
"39","10.1016/j.heliyon.2024.e30484"," e. brucei"
"40","10.1016/j.heliyon.2024.e30484"," acinetobacter soli"
"41","10.1016/j.heliyon.2024.e30484"," rhizobia effective microbes"
"42","10.1016/j.heliyon.2024.e30484"," brucei e. inoculation with microbial consortia"
"43","10.1016/j.heliyon.2024.e30484"," arbuscular mycorrhizal fungi"
"44","10.1093/hr/uhae067","arbuscular mycorrhizal fungi (amf)"
"45","10.3389/fpls.2024.1364469","mosseae"
"46","10.3389/fpls.2024.1364469"," arbuscular mycorrhizal fungal (amf)"
"47","10.3389/fpls.2024.1364469"," glomus"
"48","10.3389/fpls.2024.1364469"," glomus mosseae"
"49","10.3389/fpls.2024.1364469"," mosseae g. obtained"
"50","10.3389/fpls.2024.1385245","fungal inoculum"
"51","10.3389/fpls.2024.1385245"," rhizoglomus irregulare non-adapted"
"52","10.3389/fpls.2024.1385245"," arbuscular mycorrhizal fungi (amf)"
"53","10.3389/fpls.2024.1385245"," rhizoglomus irregulare"
"54","10.1186/s12870-024-05032-5","arbuscular mycorrhizal fungi (amf)"
"55","10.3389/fmicb.2024.1288865","velezensis"
"56","10.3389/fmicb.2024.1288865"," subtilis hg-15"
"57","10.3389/fmicb.2024.1288865"," bacillus"
"58","10.3389/fmicb.2024.1288865"," bacillus subtilis hg-15 jc-k3"
"59","10.3389/fmicb.2024.1288865"," arbuscular mycorrhizal fungi (amf)"
"60","10.3389/fmicb.2024.1288865"," hnfb inoculation"
"61","10.3389/fmicb.2024.1288865"," bacillus hg-15"
"62","10.1016/j.micres.2024.127708","plant growth-promoting bacteria"
"63","10.1016/j.micres.2024.127708","   enclensis p. chlorophenolicus"
"64","10.1016/j.micres.2024.127708"," rhizophagus clarus"
"65","10.1016/j.micres.2024.127708"," co-inoculation micrococcus endophyticus"
"66","10.1016/j.micres.2024.127708"," leclercia tamurae"
"67","10.1016/j.micres.2024.127708"," pgpb inoculation"
"68","10.1016/j.micres.2024.127708"," 1 leclercia tamurae"
"69","10.1016/j.micres.2024.127708"," clarus r."
"70","10.1016/j.micres.2024.127708"," arbuscular mycorrhizal fungi (amf)"
"71","10.1016/j.micres.2024.127708"," inoculation with enclensis"
"72","10.1016/j.micres.2024.127708"," micrococcus endophyticus"
"73","10.1016/j.micres.2024.127708"," pgpb inoculation pseudarthrobacter enclensis"
"74","10.1016/j.micres.2024.127708"," pseudarthrobacter enclensis"
"75","10.1016/j.micres.2024.127708"," halophilic pgpb"
"76","10.1016/j.micres.2024.127708"," inoculation enclensis p. chlorophenolicus"
"77","10.1007/s00284-024-03662-4","arbuscular mycorrhizal (am)"
"78","10.1007/s00284-024-03662-4"," fungi arboris arboris b. control"
"79","10.1007/s00284-024-03662-4"," arboris b."
"80","10.1016/j.crmicr.2024.100229","amf inoculum"
"81","10.1016/j.crmicr.2024.100229"," arbuscular mycorrhizal fungi (amf)"
"82","10.1590/1519-6984.276160","amf inoculation"
"83","10.1590/1519-6984.276160"," clareoideoglomus etunicatum"
"84","10.1590/1519-6984.276160"," heterosporum clarum mix r. specifically"
"85","10.1590/1519-6984.276160"," clarum glomus"
"86","10.1590/1519-6984.276160"," gigaspora margarita"
"87","10.1590/1519-6984.276160"," rhizophagus clarum"
"88","10.1590/1519-6984.276160"," etunicatum rhizophagus heterosporum clarum"
"89","10.1590/1519-6984.276160"," clarum glomus margarita albida"
"90","10.1590/1519-6984.276160"," gigaspora albida"
"91","10.1590/1519-6984.276160"," heterosporum clarum r."
"92","10.1590/1519-6984.276160"," rhizophagus heterosporum"
"93","10.1590/1519-6984.276160"," arbuscular mycorrhizal fungi (amf)"
"94","10.1590/1519-6984.276160"," rhizophagus heterosporum clarum"
"95","10.1590/1519-6984.276160"," clareoideoglomus etunicatum heterosporum mix"
"96","10.1590/1519-6984.276160"," clarum gigaspora margarita"
"97","10.1590/1519-6984.276160"," clareoideoglomus etunicatum albida"
"98","10.1590/1519-6984.276160"," etunicatum clarum gigaspora albida"
"99","10.1016/j.jenvman.2024.120673","subtilis"
"100","10.1016/j.jenvman.2024.120673"," trichoderma subtilis"
"101","10.1016/j.jenvman.2024.120673"," the trichoderma subtilis"
"102","10.1016/j.jenvman.2024.120673"," bacillus"
"103","10.1016/j.jenvman.2024.120673"," trichoderma longibrachiatum inoculation"
"104","10.1016/j.jenvman.2024.120673"," trichoderma bacillus subtilis co-applied"
"105","10.1016/j.jenvman.2024.120673"," trichoderma bacillus"
"106","10.1016/j.jenvman.2024.120673"," trichoderma bacillus subtilis"
"107","10.1016/j.jenvman.2024.120673"," trichoderma longibrachiatum"
"108","10.1093/treephys/tpae029","natural soil inoculums"
"109","10.1093/treephys/tpae029"," ectomycorrhizal fungi different"
"110","10.1093/treephys/tpae029"," soil inoculum"
"111","10.1093/treephys/tpae029"," ectomycorrhizal fungi"
"112","10.1007/s11356-024-32755-7","bacillus subtilis"
"113","10.1007/s11356-024-32755-7"," arbuscular mycorrhizal fungi (amf)"
"114","10.1007/s11356-024-32755-7"," bacillus subtilis bs fungi"
"115","10.1007/s00572-024-01139-7","amf inoculation"
"116","10.1007/s00572-024-01139-7"," claroideum gigaspora margarita"
"117","10.1007/s00572-024-01139-7"," rhizophagus intraradices"
"118","10.1007/s00572-024-01139-7"," gigaspora margarita"
"119","10.1007/s00572-024-01139-7"," funneliformis mosseae"
"120","10.1007/s00572-024-01139-7"," claroideum c."
"121","10.1007/s00572-024-01139-7"," mosseae gi f."
"122","10.1007/s00572-024-01139-7"," claroideoglomus claroideum mosseae margarita intraradices"
"123","10.1007/s00572-024-01139-7"," margarita"
"124","10.1007/s00572-024-01139-7"," claroideum rhizophagus intraradices"
"125","10.1007/s00572-024-01139-7"," claroideum funneliformis mosseae"
"126","10.1007/s00572-024-01139-7"," arbuscular mycorrhizal fungi (amf)"
"127","10.1007/s00572-024-01139-7"," claroideoglomus claroideum"
"128","10.1111/ppl.14205","mesorhizobium"
"129","10.1111/ppl.14205"," rhizobia fungi"
"130","10.1111/ppl.14205"," funneliformis mosseae"
"131","10.1111/ppl.14205"," arbuscular mycorrhizal fungi (amf)"
"132","10.1111/ppl.14205"," huakuii"
"133","10.1016/j.ecoenv.2024.116157","amf inoculation"
"134","10.1016/j.ecoenv.2024.116157"," plant growth-promoting bacteria"
"135","10.1016/j.ecoenv.2024.116157"," rhizophagus intraradices"
"136","10.1016/j.ecoenv.2024.116157"," arbuscular mycorrhizal fungi (amf)"
"137","10.1128/spectrum.03427-23","amf inoculation"
"138","10.1128/spectrum.03427-23"," arbuscular mycorrhizal fungi (amf)"
"139","10.1080/15226514.2024.2315471","plant growth-promoting bacteria"
"140","10.1080/15226514.2024.2315471"," fungus rhizophagus irregularis bacteria"
"141","10.1080/15226514.2024.2315471"," bacillus subtilis"
"142","10.1080/15226514.2024.2315471"," rhizophagus irregularis"
"143","10.1080/15226514.2024.2315471"," arbuscular mycorrhizal fungus (amf)"
"144","10.3389/fpls.2024.1303750","arbuscular mycorrhizal (am)"
"145","10.1016/j.heliyon.2024.e24820","amf inoculation"
"146","10.1016/j.heliyon.2024.e24820"," glomus   constrictum"
"147","10.1016/j.heliyon.2024.e24820"," g.   microcarpum %"
"148","10.1016/j.heliyon.2024.e24820"," mosseae"
"149","10.1016/j.heliyon.2024.e24820"," vetch g. intraradices %"
"150","10.1016/j.heliyon.2024.e24820"," microcarpum"
"151","10.1016/j.heliyon.2024.e24820"," intraradices"
"152","10.1016/j.heliyon.2024.e24820"," gigaspora"
"153","10.1016/j.heliyon.2024.e24820"," amf inoculum"
"154","10.1016/j.heliyon.2024.e24820"," glomus constrictum"
