"","study_id","LANDUSE"
"1","10.1080/12298093.2024.2360750",NA
"2","10.1093/jambio/lxae161","vineyard"
"3","10.1016/j.scitotenv.2024.173975","dryland crops"
"4","10.1016/j.scitotenv.2024.173975"," crop"
"5","10.1016/j.scitotenv.2024.173975"," crop also"
"6","10.1016/j.scitotenv.2024.173975"," % crop planted"
"7","10.1016/j.scitotenv.2024.173552",NA
"8","10.1002/ece3.11442","restoration"
"9","10.1002/ece3.11442"," ecological restoration"
"10","10.1007/s42770-024-01390-2","undergoing recovery"
"11","10.1007/s42770-024-01390-2"," coal mining"
"12","10.1007/s42770-024-01390-2"," degraded"
"13","10.1007/s42770-024-01390-2"," succession"
"14","10.1007/s42770-024-01390-2"," coal-mining"
"15","10.1007/s00572-024-01151-x",NA
"16","10.1080/15226514.2024.2353389","different histories"
"17","10.1080/15226514.2024.2353389"," heavy metals"
"18","10.1080/15226514.2024.2353389"," histories pollution"
"19","10.1016/j.heliyon.2024.e30484",NA
"20","10.1093/hr/uhae067",NA
"21","10.3389/fpls.2024.1364469","agricultural"
"22","10.3389/fpls.2024.1364469"," agronomic"
"23","10.3389/fpls.2024.1364469"," food crops"
"24","10.3389/fpls.2024.1385245","agriculture"
"25","10.1186/s12870-024-05032-5",NA
"26","10.3389/fmicb.2024.1288865","crop"
"27","10.1016/j.micres.2024.127708","crops worldwide"
"28","10.1016/j.micres.2024.127708"," crop"
"29","10.1007/s00284-024-03662-4",NA
"30","10.1016/j.crmicr.2024.100229",NA
"31","10.1590/1519-6984.276160",NA
"32","10.1016/j.jenvman.2024.120673",NA
"33","10.1093/treephys/tpae029",NA
"34","10.1007/s11356-024-32755-7","chromium remediation"
"35","10.1007/s11356-024-32755-7"," chromium contamination"
"36","10.1007/s00572-024-01139-7",NA
"37","10.1111/ppl.14205","heavy metal"
"38","10.1111/ppl.14205"," nutrient-deficient metal-contaminated"
"39","10.1016/j.ecoenv.2024.116157","heavy metal"
"40","10.1128/spectrum.03427-23","agricultural"
"41","10.1128/spectrum.03427-23"," heavy metal"
"42","10.1128/spectrum.03427-23"," heavy metals"
