"","study_id","RESPONSE"
"1","10.1080/12298093.2024.2360750","biomass"
"2","10.1080/12298093.2024.2360750"," growth biomass"
"3","10.1080/12298093.2024.2360750"," the growth biomass"
"4","10.1080/12298093.2024.2360750"," plant growth"
"5","10.1080/12298093.2024.2360750"," growth"
"6","10.1080/12298093.2024.2360750"," the highest biomass compatibility"
"7","10.1080/12298093.2024.2360750"," the highest biomass"
"8","10.1093/jambio/lxae161","plant biomass"
"9","10.1093/jambio/lxae161"," growth the"
"10","10.1093/jambio/lxae161"," vine growth"
"11","10.1093/jambio/lxae161"," growth"
"12","10.1093/jambio/lxae161"," shoot biomass"
"13","10.1016/j.scitotenv.2024.173975","mean weight"
"14","10.1016/j.scitotenv.2024.173975"," maize growth productivity"
"15","10.1016/j.scitotenv.2024.173975"," yield"
"16","10.1016/j.scitotenv.2024.173975"," yield crop"
"17","10.1016/j.scitotenv.2024.173975"," maize yield"
"18","10.1016/j.scitotenv.2024.173975"," shoot biomass"
"19","10.1016/j.scitotenv.2024.173552","biomass"
"20","10.1016/j.scitotenv.2024.173552"," plant growth"
"21","10.1002/ece3.11442","seedling biomass"
"22","10.1007/s42770-024-01390-2","plant biomass"
"23","10.1007/s42770-024-01390-2"," the biomass highest"
"24","10.1007/s42770-024-01390-2"," dry mass"
"25","10.1007/s42770-024-01390-2"," the growth"
"26","10.1007/s42770-024-01390-2"," growth"
"27","10.1007/s42770-024-01390-2"," biomass all"
"28","10.1007/s00572-024-01151-x","seedling establishment"
"29","10.1007/s00572-024-01151-x"," seedling height"
"30","10.1007/s00572-024-01151-x"," seedling biomass"
"31","10.1007/s00572-024-01151-x"," plant growth"
"32","10.1007/s00572-024-01151-x"," biomass number"
"33","10.1007/s00572-024-01151-x"," height"
"34","10.1080/15226514.2024.2353389","biomass"
"35","10.1016/j.heliyon.2024.e30484","the growth uptake"
"36","10.1016/j.heliyon.2024.e30484"," arbuscular mycorrhizal fungi e.brucei growth"
"37","10.1016/j.heliyon.2024.e30484"," growth"
"38","10.1016/j.heliyon.2024.e30484"," biomass"
"39","10.1093/hr/uhae067","plant biomass"
"40","10.1093/hr/uhae067"," growth the"
"41","10.1093/hr/uhae067"," growth"
"42","10.1093/hr/uhae067"," leguminous plant growth"
"43","10.1093/hr/uhae067"," the growth"
"44","10.3389/fpls.2024.1364469","the biomass foliar"
"45","10.3389/fpls.2024.1364469"," pearl millet biomass"
"46","10.3389/fpls.2024.1364469"," growth"
"47","10.3389/fpls.2024.1385245","plant biomass"
"48","10.3389/fpls.2024.1385245"," plant growth"
"49","10.1186/s12870-024-05032-5","wheat biomass"
