"","study_id","SOILTYPE"
"1","10.1080/12298093.2024.2360750","entisol soil"
"2","10.1080/12298093.2024.2360750"," normal soil"
"3","10.1093/jambio/lxae161",NA
"4","10.1016/j.scitotenv.2024.173975",NA
"5","10.1016/j.scitotenv.2024.173552","mo-deficient soils"
"6","10.1016/j.scitotenv.2024.173552"," mo-contaminated soils"
"7","10.1016/j.scitotenv.2024.173552"," mo-exposed soils"
"8","10.1002/ece3.11442",NA
"9","10.1007/s42770-024-01390-2",NA
"10","10.1007/s00572-024-01151-x",NA
"11","10.1080/15226514.2024.2353389","polluted soil"
"12","10.1080/15226514.2024.2353389"," polluted substrate"
"13","10.1016/j.heliyon.2024.e30484",NA
"14","10.1093/hr/uhae067","acidic soils"
"15","10.1093/hr/uhae067"," acidic soil"
"16","10.3389/fpls.2024.1364469",NA
"17","10.3389/fpls.2024.1385245",NA
"18","10.1186/s12870-024-05032-5","cd-contaminated soil"
"19","10.3389/fmicb.2024.1288865","saline soils"
"20","10.1016/j.micres.2024.127708","saline stress"
"21","10.1016/j.micres.2024.127708"," soil salinization"
"22","10.1007/s00284-024-03662-4","organic potting"
"23","10.1007/s00284-024-03662-4"," soil-sand mixture"
"24","10.1016/j.crmicr.2024.100229",NA
"25","10.1590/1519-6984.276160",NA
"26","10.1016/j.jenvman.2024.120673",NA
"27","10.1093/treephys/tpae029",NA
"28","10.1007/s11356-024-32755-7","cr-stressed soil"
"29","10.1007/s00572-024-01139-7",NA
"30","10.1111/ppl.14205","heavy metal-contaminated"
"31","10.1016/j.ecoenv.2024.116157","cr-contaminated soil"
"32","10.1016/j.ecoenv.2024.116157"," contaminated soil"
"33","10.1128/spectrum.03427-23","contaminated soil"
"34","10.1080/15226514.2024.2315471","soil microbial biomass"
"35","10.3389/fpls.2024.1303750",NA
"36","10.1016/j.heliyon.2024.e24820","calcareous areas"
"37","10.1016/j.heliyon.2024.e24820"," high lime"
"38","10.1016/j.scitotenv.2024.170417",NA
"39","10.3390/microorganisms12010075",NA
"40","10.1007/s11356-024-31870-9","cd-contaminated soil"
"41","10.1002/jobm.202300424","soil enriched enriched"
"42","10.1007/s12298-023-01369-7","acidic soil"
"43","10.1007/s10123-023-00466-7",NA
"44","10.1111/nph.19493",NA
"45","10.3390/plants12244171","soil humidity"
"46","10.3390/plants12244088","degraded"
"47","10.3390/jof9121152",NA
"48","10.3390/plants12234012","cu-contaminated"
"49","10.1111/pce.14771",NA
"50","10.1016/j.jenvman.2023.119509",NA
"51","10.1016/j.envpol.2023.122841","as-contaminated"
"52","10.1007/s10886-023-01455-w",NA
"53","10.3390/jof9100977","rootless soil"
"54","10.3390/jof9100977"," the hyphosphere soil"
"55","10.1007/s13205-023-03793-8","seleniferous soil"
"56","10.1007/s13205-023-03793-8"," seleniferous soils"
"57","10.1093/treephys/tpad130",NA
"58","10.3390/plants12193426","saline-alkali soil"
"59","10.3390/plants12193426"," saline-alkali normal soils"
"60","10.3390/plants12193426"," normal soil"
"61","10.1007/s00572-023-01126-4",NA
"62","10.1016/j.envres.2023.117219",NA
"63","10.1016/j.scitotenv.2023.167289",NA
