"","study_id","TREATMENT"
"1","10.1080/12298093.2024.2360750","t3 entisol"
"2","10.1080/12298093.2024.2360750"," different combination"
"3","10.1080/12298093.2024.2360750"," treatments"
"4","10.1080/12298093.2024.2360750"," amf"
"5","10.1080/12298093.2024.2360750"," the treatments given"
"6","10.1080/12298093.2024.2360750"," soil t1"
"7","10.1080/12298093.2024.2360750"," treatment fungi"
"8","10.1080/12298093.2024.2360750"," combined improve"
"9","10.1080/12298093.2024.2360750"," treatment amf"
"10","10.1080/12298093.2024.2360750"," the treatment t3"
"11","10.1080/12298093.2024.2360750"," t3"
"12","10.1080/12298093.2024.2360750"," mycorrhiza inoculation"
"13","10.1080/12298093.2024.2360750"," treatment t3"
"14","10.1080/12298093.2024.2360750"," mycorrhizal inoculation"
"15","10.1093/jambio/lxae161","uninoculated field soil substrate"
"16","10.1093/jambio/lxae161"," am fungi"
"17","10.1093/jambio/lxae161"," mycorrhizal inoculant"
"18","10.1093/jambio/lxae161"," inoculated vines"
"19","10.1093/jambio/lxae161"," biofertilizers"
"20","10.1093/jambio/lxae161"," inoculations"
"21","10.1093/jambio/lxae161"," inoculated"
"22","10.1093/jambio/lxae161"," inoculant type"
"23","10.1016/j.scitotenv.2024.173975","field inoculation soc"
"24","10.1016/j.scitotenv.2024.173975"," amf"
"25","10.1016/j.scitotenv.2024.173975"," no-amf/no-benomyl control"
"26","10.1016/j.scitotenv.2024.173975"," fungicide benomyl"
"27","10.1016/j.scitotenv.2024.173975"," no-amf/no-benomyl control practices"
"28","10.1016/j.scitotenv.2024.173975"," water conservation"
"29","10.1016/j.scitotenv.2024.173975"," half-film full-film mulching"
"30","10.1016/j.scitotenv.2024.173975"," half-film mulching"
"31","10.1016/j.scitotenv.2024.173975"," soc"
"32","10.1016/j.scitotenv.2024.173552","rhizosphere microorganism"
"33","10.1016/j.scitotenv.2024.173552"," molybdenum (mo) mo nutrient"
"34","10.1016/j.scitotenv.2024.173552"," amf"
"35","10.1016/j.scitotenv.2024.173552"," mo exposure"
"36","10.1016/j.scitotenv.2024.173552"," soil microorganisms"
"37","10.1016/j.scitotenv.2024.173552"," excess mo"
"38","10.1016/j.scitotenv.2024.173552"," an essential nutrient understood"
"39","10.1016/j.scitotenv.2024.173552"," soil mo"
"40","10.1016/j.scitotenv.2024.173552"," mo"
"41","10.1002/ece3.11442","home away"
"42","10.1002/ece3.11442"," reciprocal home away"
"43","10.1002/ece3.11442"," ectomycorrhizal fungal"
"44","10.1007/s42770-024-01390-2","control non-inoculated"
"45","10.1007/s42770-024-01390-2"," brasilense ni azo"
"46","10.1007/s42770-024-01390-2"," combined"
"47","10.1007/s42770-024-01390-2"," treatment non-inoculated"
"48","10.1007/s42770-024-01390-2"," inoculation isolated"
"49","10.1007/s42770-024-01390-2"," ni non-inoculated azo amf co-inoculation"
"50","10.1007/s42770-024-01390-2"," the treatment non-inoculated"
"51","10.1007/s42770-024-01390-2"," ni control non-inoculated"
"52","10.1007/s42770-024-01390-2"," co-inoculated"
"53","10.1007/s42770-024-01390-2"," ni co-inoculation"
"54","10.1007/s42770-024-01390-2"," inoculation the"
"55","10.1007/s42770-024-01390-2"," inoculation treatments"
"56","10.1007/s42770-024-01390-2"," azo amf"
"57","10.1007/s42770-024-01390-2"," intraradices ni amf"
"58","10.1007/s42770-024-01390-2"," azo amf co-inoculation"
"59","10.1007/s42770-024-01390-2"," four"
"60","10.1007/s00572-024-01151-x","combined"
"61","10.1007/s00572-024-01151-x"," drought competition combination"
"62","10.1007/s00572-024-01151-x"," treatments"
"63","10.1007/s00572-024-01151-x"," a combination"
"64","10.1007/s00572-024-01151-x"," emf"
"65","10.1007/s00572-024-01151-x"," drought competition"
"66","10.1007/s00572-024-01151-x"," drought herbaceous competition"
"67","10.1080/15226514.2024.2353389","inoculated when"
"68","10.1080/15226514.2024.2353389"," uninoculated plants"
"69","10.1080/15226514.2024.2353389"," gc3 strain"
"70","10.1080/15226514.2024.2353389"," gb8 strain"
"71","10.1080/15226514.2024.2353389"," cr"
"72","10.1080/15226514.2024.2353389"," cu"
"73","10.1080/15226514.2024.2353389"," plants inoculated inoculated"
"74","10.1016/j.heliyon.2024.e30484","the inoculation"
"75","10.1016/j.heliyon.2024.e30484"," un-inoculated treatments"
"76","10.1016/j.heliyon.2024.e30484"," inoculating"
"77","10.1016/j.heliyon.2024.e30484"," b. shewense inoculation"
"78","10.1016/j.heliyon.2024.e30484"," inoculated treatments"
"79","10.1016/j.heliyon.2024.e30484"," un-inoculated"
"80","10.1016/j.heliyon.2024.e30484"," inoculated"
"81","10.1016/j.heliyon.2024.e30484"," inoculated un-inoculated treatments"
"82","10.1016/j.heliyon.2024.e30484"," microbial consortia"
"83","10.1093/hr/uhae067","rhizo-microbiome"
"84","10.1093/hr/uhae067"," amf"
"85","10.1093/hr/uhae067"," p-fertilization amf-inoculation"
"86","10.1093/hr/uhae067"," amf-inoculation"
"87","10.1093/hr/uhae067"," the absence of amf-inoculation"
"88","10.1093/hr/uhae067"," soybean recipient ny-1001"
"89","10.1093/hr/uhae067"," p-fertilization"
"90","10.1093/hr/uhae067"," soil microbiome"
"91","10.3389/fpls.2024.1364469","amf products"
"92","10.3389/fpls.2024.1364469"," amf inoculation"
"93","10.3389/fpls.2024.1364469"," amf"
"94","10.3389/fpls.2024.1364469"," control"
"95","10.3389/fpls.2024.1364469"," amf-mediated"
"96","10.3389/fpls.2024.1364469"," the combination"
"97","10.3389/fpls.2024.1364469"," four replications"
"98","10.3389/fpls.2024.1364469"," non-mycorrhizal plants"
"99","10.3389/fpls.2024.1364469"," inoculation"
"100","10.3389/fpls.2024.1385245","inoculate"
"101","10.3389/fpls.2024.1385245"," low high phosphate conditions"
"102","10.3389/fpls.2024.1385245"," phosphate levels"
"103","10.3389/fpls.2024.1385245"," high pi"
"104","10.3389/fpls.2024.1385245"," mycorrhizal inoculum"
"105","10.3389/fpls.2024.1385245"," amf phosphate-tolerant"
"106","10.1186/s12870-024-05032-5","se combined"
"107","10.1186/s12870-024-05032-5"," se fertilizer"
"108","10.1186/s12870-024-05032-5"," se fertilizer combined"
"109","10.1186/s12870-024-05032-5"," se amf"
"110","10.1186/s12870-024-05032-5"," cd stress"
"111","10.1186/s12870-024-05032-5"," se the combined"
"112","10.1186/s12870-024-05032-5"," inoculation amf"
"113","10.1186/s12870-024-05032-5"," co-application"
"114","10.1186/s12870-024-05032-5"," amf"
"115","10.1186/s12870-024-05032-5"," in combination"
"116","10.1186/s12870-024-05032-5"," selenium se fertilizer fungi"
"117","10.1186/s12870-024-05032-5"," se or amf"
"118","10.1186/s12870-024-05032-5"," ri treatment"
"119","10.1186/s12870-024-05032-5"," combined"
"120","10.1186/s12870-024-05032-5"," combined ri treatment"
"121","10.1186/s12870-024-05032-5"," soil microbial communities"
"122","10.1186/s12870-024-05032-5"," cd"
"123","10.1186/s12870-024-05032-5"," selenium fertilizer"
"124","10.1186/s12870-024-05032-5"," alone"
"125","10.3389/fmicb.2024.1288865","combined"
"126","10.3389/fmicb.2024.1288865"," fertilizer high-nitrogen n2"
"127","10.3389/fmicb.2024.1288865"," high-nitrogen treatment"
"128","10.3389/fmicb.2024.1288865"," halotolerant nitrogen-fixing bacteria (hnfb)"
"129","10.3389/fmicb.2024.1288865"," amf"
"130","10.3389/fmicb.2024.1288865"," low-nitrogen mg n0 normal-nitrogen n1"
"131","10.3389/fmicb.2024.1288865"," hnfb treatment"
"132","10.3389/fmicb.2024.1288865"," the optimal hnfb-amf combinations"
"133","10.3389/fmicb.2024.1288865"," nitrogen levels"
"134","10.3389/fmicb.2024.1288865"," with bacteria"
"135","10.3389/fmicb.2024.1288865"," hnfb properties exogenous microbes"
"136","10.3389/fmicb.2024.1288865"," hnfb"
"137","10.3389/fmicb.2024.1288865"," biofertilizers"
"138","10.3389/fmicb.2024.1288865"," salt stress"
"139","10.3389/fmicb.2024.1288865"," fertilizer mg high-nitrogen"
"140","10.3389/fmicb.2024.1288865"," without bacteria"
"141","10.3389/fmicb.2024.1288865"," low-nitrogen normal-nitrogen"
"142","10.3389/fmicb.2024.1288865"," nitrogen application"
"143","10.1016/j.micres.2024.127708","co-inoculation"
"144","10.1016/j.micres.2024.127708"," pgpb"
"145","10.1016/j.micres.2024.127708"," the inoculation"
"146","10.1016/j.micres.2024.127708"," pgpb co-inoculation"
"147","10.1016/j.micres.2024.127708"," the inoculation 52"
"148","10.1016/j.micres.2024.127708"," same conditions"
"149","10.1016/j.micres.2024.127708"," the non-inoculated control"
"150","10.1016/j.micres.2024.127708"," inoculation pgpb"
"151","10.1016/j.micres.2024.127708"," non-inoculated control"
"152","10.1016/j.micres.2024.127708"," the co-inoculation"
"153","10.1016/j.micres.2024.127708"," co-inoculation"
"154","10.1016/j.micres.2024.127708"," mm nacl"
"155","10.1016/j.micres.2024.127708"," nacl"
"156","10.1016/j.micres.2024.127708"," pgpb co-inoculation these"
"157","10.1016/j.micres.2024.127708"," co-inoculated with"
"158","10.1016/j.micres.2024.127708"," inoculation individual"
"159","10.1016/j.micres.2024.127708"," the pgpb co-inoculated"
"160","10.1007/s00284-024-03662-4","inoculation prior"
"161","10.1007/s00284-024-03662-4"," b. arboris inoculation"
"162","10.1007/s00284-024-03662-4"," am"
"163","10.1007/s00284-024-03662-4"," control"
"164","10.1007/s00284-024-03662-4"," am production"
"165","10.1007/s00284-024-03662-4"," co-inoculation"
"166","10.1007/s00284-024-03662-4"," four inoculation"
"167","10.1007/s00284-024-03662-4"," am inoculum"
"168","10.1007/s00284-024-03662-4"," sterilized unsterilized"
"169","10.1007/s00284-024-03662-4"," b. arboris"
"170","10.1007/s00284-024-03662-4"," unsterilized"
"171","10.1007/s00284-024-03662-4"," am fungi"
"172","10.1016/j.crmicr.2024.100229","gr24 1.0 5.0 µm with inoculation"
"173","10.1016/j.crmicr.2024.100229"," with without"
"174","10.1016/j.crmicr.2024.100229"," strigolactones (sls) sls"
"175","10.1016/j.crmicr.2024.100229"," rhizospheric microbiome"
"176","10.1016/j.crmicr.2024.100229"," gr24"
"177","10.1016/j.crmicr.2024.100229"," amf"
"178","10.1016/j.crmicr.2024.100229"," gr24 fungi inoculation"
"179","10.1016/j.crmicr.2024.100229"," sl gr24 µm"
"180","10.1016/j.crmicr.2024.100229"," sl"
"181","10.1016/j.crmicr.2024.100229"," phosphorus (p)-deficient"
"182","10.1016/j.crmicr.2024.100229"," sls"
"183","10.1016/j.crmicr.2024.100229"," sl gr24"
"184","10.1016/j.crmicr.2024.100229"," amf treated"
"185","10.1016/j.crmicr.2024.100229"," the control"
"186","10.1016/j.crmicr.2024.100229"," gr24 with without"
"187","10.1590/1519-6984.276160","coarse sand scs"
"188","10.1590/1519-6984.276160"," control group"
"189","10.1590/1519-6984.276160"," mix combination"
