DOI,PMID
10.1080/12298093.2024.2360750,38948452
10.1093/jambio/lxae161,38936822
10.1016/j.scitotenv.2024.173975,38876345
10.1016/j.scitotenv.2024.173552,38806125
10.1002/ece3.11442,38803610
10.1007/s42770-024-01390-2,38769246
10.1007/s00572-024-01151-x,38762648
10.1080/15226514.2024.2353389,38738738
10.1016/j.heliyon.2024.e30484,38737265
10.1093/hr/uhae067,38725460
10.3389/fpls.2024.1364469,38716345
10.3389/fpls.2024.1385245,38716338
10.1186/s12870-024-05032-5,38698306
10.3389/fmicb.2024.1288865,38633693
10.1016/j.micres.2024.127708,38599021
10.1007/s00284-024-03662-4,38587647
10.1016/j.crmicr.2024.100229,38525307
10.1590/1519-6984.276160,38511773
10.1016/j.jenvman.2024.120673,38508003
10.1093/treephys/tpae029,38470306
10.1007/s11356-024-32755-7,38456983
10.1007/s00572-024-01139-7,38441668
10.1111/ppl.14205,38439620
10.1016/j.ecoenv.2024.116157,38430578
10.1128/spectrum.03427-23,38393320
10.1080/15226514.2024.2315471,38391288
10.3389/fpls.2024.1303750,38390295
10.1016/j.heliyon.2024.e24820,38352785
10.1016/j.scitotenv.2024.170417,38280611
10.3390/microorganisms12010075,38257902
10.1007/s11356-024-31870-9,38217817
10.1002/jobm.202300424,38175847
10.1007/s12298-023-01369-7,38162922
10.1007/s10123-023-00466-7,38157110
10.1111/nph.19493,38155454
10.3390/plants12244171,38140498
10.3390/plants12244088,38140415
10.3390/jof9121152,38132753
10.3390/plants12234012,38068648
10.1111/pce.14771,37994626
10.1016/j.jenvman.2023.119509,37940487
10.1016/j.envpol.2023.122841,37940019
10.1007/s10886-023-01455-w,37924424
10.3390/jof9100977,37888233
10.1007/s13205-023-03793-8,37849768
10.1093/treephys/tpad130,37847604
10.3390/plants12193426,37836166
10.1007/s00572-023-01126-4,37821597
10.1016/j.envres.2023.117219,37778608
10.1016/j.scitotenv.2023.167289,37741381
10.7717/peerj.15686,37719109
10.1016/j.ecoenv.2023.115458,37690173
10.3389/fpls.2023.1206047,37636112
10.3390/microorganisms11082012,37630572
10.3389/fpls.2023.1222557,37521928
10.3390/toxics11070582,37505548
10.1111/gcb.16886,37489250
10.1093/aob/mcad095,37464876
10.3389/fmicb.2023.1184070,37455720
10.1016/j.envpol.2023.122146,37419209
10.3390/jof9060684,37367620
10.3390/jof9060677,37367613
10.1016/j.scitotenv.2023.164970,37343864
