DOI,STUDY,TREATMENT,RESPONSE,CARDINAL,SE,PERCENTAGE,SENTENCE,ISTABLE
10.3390/microorganisms8111695,33143245,ck,dry weight,1.28,0.03,,root dry weight g,99
10.3390/microorganisms8111695,33143245,m,dry weight,1.41,0.058,,root dry weight g,99
10.3390/microorganisms8111695,33143245,ss,dry weight,0.71,0.029,,root dry weight g,99
10.3390/microorganisms8111695,33143245,ms,dry weight,0.85,0.06,,root dry weight g,99
10.3390/microorganisms8111695,33143245,ck,dry weight,0.18,0.02,,shoot dry weight g,99
10.3390/microorganisms8111695,33143245,m,dry weight,0.22,0.048,,shoot dry weight g,99
10.3390/microorganisms8111695,33143245,ss,dry weight,0.1,0.02,,shoot dry weight g,99
10.3390/microorganisms8111695,33143245,ms,dry weight,0.14,0.03,,shoot dry weight g,99
10.3390/microorganisms8020230,32046366,plant species x amf,biomass,0.62,,,total biomass f 291.01 0.84 12.73 0.78,99
10.3390/microorganisms8020230,32046366,earthworm x amf,biomass,0.34,,,total biomass f 291.01 0.84 12.73 0.78,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,biomass,1.83,,,total biomass f 291.01 0.84 12.73 0.78,99
10.3390/microorganisms8020230,32046366,residuals ms,biomass,0.05,,,total biomass f 291.01 0.84 12.73 0.78,99
10.3390/microorganisms8020230,32046366,plant species x amf,biomass,,,,total biomass p oe ok a tr,99
10.3390/microorganisms8020230,32046366,earthworm x amf,biomass,,,,total biomass p oe ok a tr,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,biomass,,,,total biomass p oe ok a tr,99
10.3390/microorganisms8020230,32046366,residuals ms,biomass,,,,total biomass p oe ok a tr,99
10.3390/microorganisms8020230,32046366,plant species x amf,biomass,,,,total biomass nan pl t,99
10.3390/microorganisms8020230,32046366,earthworm x amf,biomass,,,,total biomass nan pl t,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,biomass,,,,total biomass nan pl t,99
10.3390/microorganisms8020230,32046366,residuals ms,biomass,,,,total biomass nan pl t,99
10.3390/microorganisms8020230,32046366,plant species x amf,biomass,0.28,,,root biomass f 4.4 0.41 13.29 0.19,99
10.3390/microorganisms8020230,32046366,earthworm x amf,biomass,0.06,,,root biomass f 4.4 0.41 13.29 0.19,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,biomass,3.51,,,root biomass f 4.4 0.41 13.29 0.19,99
10.3390/microorganisms8020230,32046366,residuals ms,root biomass,0.2,,,root biomass f 4.4 0.41 13.29 0.19,99
10.3390/microorganisms8020230,32046366,plant species x amf,root biomass,,,,root biomass p  or rk t 12.01,99
10.3390/microorganisms8020230,32046366,earthworm x amf,root biomass,,,,root biomass p  or rk t 12.01,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,root biomass,,,,root biomass p  or rk t 12.01,99
10.3390/microorganisms8020230,32046366,residuals ms,root biomass,,,,root biomass p  or rk t 12.01,99
10.3390/microorganisms8020230,32046366,plant species x amf,root biomass,0.32,,,shoot biomass f 532.75 1.01 1.11,99
10.3390/microorganisms8020230,32046366,earthworm x amf,root biomass,0.04,,,shoot biomass f 532.75 1.01 1.11,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,root biomass,0.93,,,shoot biomass f 532.75 1.01 1.11,99
10.3390/microorganisms8020230,32046366,residuals ms,root biomass,0.04,,,shoot biomass f 532.75 1.01 1.11,99
