STUDY,TREATMENT,RESPONSE,CARDINAL,PERCENTAGE,SENTENCE,ISTABLE
24709748,rt,biomass,0.28,,biomass f value,99
24709748,st,biomass,3.83,,biomass f value,99
24709748,block,biomass,4.98,,biomass f value,99
24709748,ro,biomass,26.08,,biomass f value,99
24709748,so,biomass,0.26,,biomass f value,99
24709748,x rt ro,biomass,0.4,,biomass f value,99
24709748,x st so,biomass,0.8,,biomass f value,99
24709748,residual df,biomass,241.0,,biomass f value,99
34880358.2,treatment,biomass,dwsink,,a biomass dry weight sample number,99
34880358.2,corf,biomass,corf,,a biomass dry weight sample number,99
34880358.2,cosf,biomass,cosf,,a biomass dry weight sample number,99
34880358.2,pcrf,biomass,pcrf,,a biomass dry weight sample number,99
34880358.2,pcsf,biomass,pcsf,,a biomass dry weight sample number,99
34880358.2,acrf,biomass,acrf,,a biomass dry weight sample number,99
34880358.2,acsf,biomass,acsf,,a biomass dry weight sample number,99
34880358.2,acpcrf,biomass,acpcrf,,a biomass dry weight sample number,99
34880358.2,acpcsf,biomass,acpcsf,,a biomass dry weight sample number,99
34880358.2,pprf,biomass,pprf,,a biomass dry weight sample number,99
34880358.2,ppsf,biomass,ppsf,,a biomass dry weight sample number,99
34880358.2,pppcrf,biomass,pppcrf,,a biomass dry weight sample number,99
34880358.2,pppcsf,biomass,pppcsf,,a biomass dry weight sample number,99
34880358.2,pqrf,biomass,pqrf,,a biomass dry weight sample number,99
34880358.2,pqsf,biomass,pqsf,,a biomass dry weight sample number,99
34880358.2,pqpcrf,biomass,pqpcrf,,a biomass dry weight sample number,99
34880358.2,pqpcsf,biomass,pqpcsf,,a biomass dry weight sample number,99
34880358.2,marf,biomass,marf,,a biomass dry weight sample number,99
34880358.2,masf,biomass,masf,,a biomass dry weight sample number,99
34880358.2,mapcrf,biomass,mapcrf,,a biomass dry weight sample number,99
34880358.2,mapcsf,biomass,mapcsf,,a biomass dry weight sample number,99
34880358.2,treatment,biomass,dwsource,,a biomass dry weight sample number,99
34880358.2,corf,biomass,corf,,a biomass dry weight sample number,99
34880358.2,cosf,biomass,cosf,,a biomass dry weight sample number,99
34880358.2,pcrf,biomass,pcrf,,a biomass dry weight sample number,99
34880358.2,pcsf,biomass,pcsf,,a biomass dry weight sample number,99
34880358.2,acrf,biomass,acrf,,a biomass dry weight sample number,99
34880358.2,acsf,biomass,acsf,,a biomass dry weight sample number,99
34880358.2,acpcrf,biomass,acpcrf,,a biomass dry weight sample number,99
34880358.2,acpcsf,biomass,acpcsf,,a biomass dry weight sample number,99
34880358.2,pprf,biomass,pprf,,a biomass dry weight sample number,99
34880358.2,ppsf,biomass,ppsf,,a biomass dry weight sample number,99
34880358.2,pppcrf,biomass,pppcrf,,a biomass dry weight sample number,99
34880358.2,pppcsf,biomass,pppcsf,,a biomass dry weight sample number,99
34880358.2,pqrf,biomass,pqrf,,a biomass dry weight sample number,99
34880358.2,pqsf,biomass,pqsf,,a biomass dry weight sample number,99
34880358.2,pqpcrf,biomass,pqpcrf,,a biomass dry weight sample number,99
34880358.2,pqpcsf,biomass,pqpcsf,,a biomass dry weight sample number,99
34880358.2,marf,biomass,marf,,a biomass dry weight sample number,99
34880358.2,masf,biomass,masf,,a biomass dry weight sample number,99
34880358.2,mapcrf,biomass,mapcrf,,a biomass dry weight sample number,99
34880358.2,mapcsf,biomass,mapcsf,,a biomass dry weight sample number,99
34880358.2,treatment,biomass,dwstem,,a biomass dry weight sample number,99
34880358.2,corf,biomass,corf,,a biomass dry weight sample number,99
34880358.2,cosf,biomass,cosf,,a biomass dry weight sample number,99
