"","DOI","TREATMENT","INOCTYPE","RESPONSE","SOILTYPE","FIELDGREENHOUSE","LANDUSE","ECOTYPE","ECOREGION","LOCATION","journal"
"1","10.1080/12298093.2024.2360750","T3 entisol; different combination; treatments; AMF; the treatments given; soil T1; treatment fungi; combined improve; treatment AMF; the treatment T3; T3; mycorrhiza inoculation; treatment T3; mycorrhizal inoculation","arbuscular mycorrhizal fungi (AMF)","biomass; growth biomass; the growth biomass; plant growth; growth; the highest biomass compatibility; the highest biomass","Entisol soil; normal soil","nursery",NA,"Terminalia arjuna; T. arjuna",NA,NA,NA
"2","10.1093/jambio/lxae161","uninoculated field soil substrate; AM fungi; mycorrhizal inoculant; inoculated vines; biofertilizers; inoculations; inoculated; inoculant type","local AM fungal inoculants; commercially available mycorrhizal inoculant; arbuscular mycorrhizal fungal (AM); local inoculants; fungal inoculants; locally collected whole soil inoculants","plant biomass; growth the; vine growth; growth; shoot biomass",NA,"field soils; field soil; greenhouse","vineyard","Vitis vinifera; wine grapes",NA,NA,"Journal of Applied Microbiology"
"3","10.1016/j.scitotenv.2024.173552","rhizosphere microorganism; Molybdenum (Mo) Mo nutrient; AMF; Mo exposure; soil microorganisms; Excess Mo; an essential nutrient understood; excess Mo; soil Mo; Mo","AMF inoculants; arbuscular mycorrhizal fungi (AMF)","biomass; plant growth","Mo-deficient soils; Mo-contaminated soils; Mo-exposed soils",NA,NA,"Medicago sativa; alfalfa; leguminous plants",NA,NA,"Science of The Total Environment"
"4","10.1002/ece3.11442","home away; reciprocal home away; ectomycorrhizal fungal","Leptospermum inoculum; home soil inoculum; soil fungal inoculum; home inoculum; Leptospermum ectomycorrhizal fungi","seedling biomass",NA,NA,"restoration; ecological restoration","Nothofagus Leptospermum; Nothofagaceae; Myrtaceae; Leptospermum species; Nothofagus cliffortioides; Nothofagus; pioneer; southern beech; mountain beech","southern hemisphere",NA,"Ecology and Evolution"
"5","10.1007/s00572-024-01151-x","combined; drought competition combination; treatments; a combination; EMF; drought competition; drought herbaceous competition","Ectomycorrhizal fungi (EMF) inoculum; Geopora genus; ectomycorrhizal inoculation","Seedling establishment; seedling height; seedling biomass; plant growth; biomass number; height",NA,"a net-house",NA,"Aleppo pine",NA,NA,"Mycorrhiza"
"6","10.1016/j.heliyon.2024.e30484","The inoculation; un-inoculated treatments; inoculating; B. shewense inoculation; Inoculating; inoculated treatments; un-inoculated; inoculated; Inoculated treatments; inoculated un-inoculated treatments; microbial consortia","rhizobia plant-beneficial microbes; Bradyrhizobium shewense; indigenous rhizobia; E. Brucei; Acinetobacter soli; rhizobia effective microbes; brucei E. inoculation with microbial consortia; arbuscular mycorrhizal fungi","the growth uptake; arbuscular mycorrhizal fungi E.brucei growth; growth; biomass",NA,"field experiment",NA,"Erythrina brucei; E. brucei; E.brucei",NA,"southern Ethiopia","Heliyon"
"7","10.1093/hr/uhae067","rhizo-microbiome; AMF; P-fertilization AMF-inoculation; AMF-inoculation; the absence of AMF-inoculation; soybean recipient NY-1001; P-fertilization; soil microbiome","arbuscular mycorrhizal fungi (AMF)","plant biomass; growth the; growth; leguminous plant growth; The growth","acidic soils; acidic soil",NA,NA,"soybean P-efficiency transgenic; soybean; soybean P-efficiency higher",NA,NA,"Horticulture Research"
"8","10.1186/s12870-024-05032-5","Se combined; Se fertilizer; Se fertilizer combined; Se AMF; Cd stress; Se the combined; inoculation AMF; co-application; AMF; in combination; Selenium Se fertilizer fungi; Se or AMF; Ri treatment; combined; combined Ri treatment; soil microbial communities; Cd; Selenium fertilizer; alone","arbuscular mycorrhizal fungi (AMF)","wheat biomass","Cd-contaminated soil","pot experiment",NA,"wheat soil; wheat",NA,NA,"BMC Plant Biology"
"9","10.1007/s00284-024-03662-4","inoculation prior; B. arboris inoculation; AM; control; AM production; Co-inoculation; four inoculation; AM inoculum; sterilized unsterilized; B. arboris; unsterilized; AM fungi","Arbuscular mycorrhizal (AM); fungi arboris arboris B. control; arboris B.","AM fungal; root biomass; 80.85%; AM production; plant growth; 62.16 spores g<sup>-1</sup> soil","organic potting; soil-sand mixture","a nursery",NA,"sorghum; soybean",NA,NA,"Current Microbiology"
"10","10.1016/j.crmicr.2024.100229","GR24 1.0 5.0 µM with inoculation; with without; Strigolactones (SLs) SLs; rhizospheric microbiome; GR24; AMF; GR24 fungi inoculation; SL GR24 µM; SL; phosphorus (P)-deficient; SLs; SL GR24; AMF treated; the control; GR24 with without","AMF inoculum; arbuscular mycorrhizal fungi (AMF)","soil microbial biomass; growth effects priming; plant growth; growth; growth selected aerobic rice uptake activities; growth rice",NA,NA,NA,"rice",NA,NA,"Current Research in Microbial Sciences"
