"","STUDY","TREATMENT","RESPONSE","CARDINAL","PERCENTAGE","SENTENCE","ISTABLE","DOI","LAT","LON","INOCTYPE","SOILTYPE","FIELDGREENHOUSE","LANDUSE","ECOTYPE","ECOREGION","LOCATION"
"1","35807732.2","AMF","dry weight",2,"","Growth and Elemental Concentrations in Leaves of Watermelon Inoculated or Non-inoculated Seedlings With AMF and Subjected or Not to Salinity-Alkalinity Stress Under salinity-alkalinity stresses, watermelon growth and development were signiﬁcantly decreased, including plant height, stem diameter, dry weight of root and shoot (Table 2).",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"2","35807732.2","AMF","dry weight",2,"","Growth and Elemental Concentrations in Leaves of Watermelon Inoculated or Non-inoculated Seedlings With AMF and Subjected or Not to Salinity-Alkalinity Stress Under salinity-alkalinity stresses, watermelon growth and development were signiﬁcantly decreased, including plant height, stem diameter, dry weight of root and shoot (Table 2).",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"3","35807732.2","AMF","dry weight",12.8,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"4","35807732.2","AMF","dry weight",12.8,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"5","35807732.2","AMF","dry weight",5.11,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"6","35807732.2","AMF","dry weight",5.11,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"7","35807732.2","AMF","dry weight",10.16,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"8","35807732.2","AMF","dry weight",10.16,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"9","35807732.2","AMF","dry weight",12.8,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"10","35807732.2","AMF","dry weight",12.8,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
"11","35807732.2","AMF","dry weight",5.11,"","Under normal conditions with no salinity-alkalinity stresses, AMF could also signiﬁcantly increase the plant height, stem diameter, root dry weight, and shoot dry weight by 12.80, 5.11, 10.16, and 22.22%, respectively, compared to the nonAMF treatment.",0,"10.3389/fpls.2019.00863","","",NA,NA,NA,NA,NA,NA,NA
