DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
10.1016/j.scitotenv.2024.173975,SOC; field inoculation SOC; AMF,Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF); mosseae F. dominated; mosseae F.; AMF inoculation; AMF Funneliformis mosseae,yield; half-film full-film; maize growth productivity; shoot biomass; maize yield; yield crop; aggregates,half-film mulching; full-film mulching,field,% crop planted; dryland crops; crop; crop also,drylands; dryland; maize,semi-arid arid farmlands,
10.1016/j.scitotenv.2024.173552,Mo; soil microorganisms; an essential nutrient understood; Mo exposure; Excess Mo; Molybdenum (Mo) Mo nutrient; rhizosphere microorganism; soil Mo; excess Mo; AMF,arbuscular mycorrhizal fungi (AMF); AMF inoculants,biomass; plant growth,Mo-contaminated soils; Mo-exposed soils; Mo-deficient soils,,,"leguminous plants; alfalfa,; Medicago sativa; alfalfa",,
10.1002/ece3.11442,ectomycorrhizal fungal; reciprocal home away; home away,soil fungal inoculum; home soil inoculum; home inoculum; Leptospermum inoculum,seedling biomass,,,ecological restoration; restoration,pioneer; Nothofagus cliffortioides; southern beech; Nothofagus Leptospermum; Nothofagus; Nothofagaceae; mountain beech,southern hemisphere,
10.1007/s42770-024-01390-2,the treatment non-inoculated; brasilense NI AZO; inoculation treatments; inoculation The; Control Non-inoculated; four; treatment non-inoculated; AZO AMF co-inoculation; Inoculation isolated; NI Non-inoculated AZO AMF co-inoculation; NI co-inoculation; intraradices NI AMF; AZO AMF; NI Control Non-inoculated,plant growth-promoting bacteria; intraradices R.; intraradices brasilense R.; Rhizophagus intraradices; brasilense A.; Azospirillum brasilense; arbuscular mycorrhizal fungi,the biomass highest; biomass all; the growth; growth; plant biomass,,field,pioneer; degraded; undergoing recovery; coal-mining areas; coal mining; succession,pioneer species; Trifolium repens,,
10.1007/s00572-024-01151-x,treatments; a combination; drought herbaceous competition; drought competition combination; drought competition; EMF,ectomycorrhizal inoculation; Ectomycorrhizal fungi (EMF) inoculum,Seedling establishment; biomass number; height; plant growth; seedling height; competition; seedling biomass,,a net-house,,Aleppo pine,,
10.1080/15226514.2024.2353389,Cr; GB8 strain; inoculated when; GC3 strain; Uninoculated plants; Plants inoculated inoculated,Rhizophagus intraradices strains; R. intraradices strains; Rhizophagus intraradices intraradices strains isolated from soils isolated; Arbuscular mycorrhizal fungi (AMF),biomass,polluted substrate; polluted soil,pilot territory; engineering vegetal depuration module,histories pollution; heavy metals; different histories,,,
10.1016/j.heliyon.2024.e30484,Inoculated treatments; un-inoculated treatments; Inoculating; inoculated; three replications; B. shewense inoculation; inoculating; different microbial consortia; microbial consortia; un-inoculated; The inoculation; inoculated treatments,rhizobia effective microbes; Bradyrhizobium shewense; rhizobia plant-beneficial microbes; indigenous rhizobia; arbuscular mycorrhizal fungi; brucei E. inoculation with microbial consortia; Acinetobacter soli,biomass; growth; arbuscular mycorrhizal fungi E.brucei growth; the growth uptake,,field experiment,,E. brucei; E.brucei; Erythrina brucei,,southern Ethiopia
10.1093/hr/uhae067,NY-1001; P-fertilization AMF-inoculation; soybean recipient NY-1001; P-fertilization; the absence of AMF-inoculation; rhizo-microbiome; AMF-inoculation; AMF,arbuscular mycorrhizal fungi (AMF),growth the; growth; leguminous plant growth; The growth; plant biomass,acidic soils; acidic soil,,,soybean; soybean P-efficiency transgenic; soybean P-efficiency higher,,
10.3389/fpls.2024.1364469,AMF-mediated; control; four replications; soil fertilization; AMF; AMF products,arbuscular mycorrhizal fungal (AMF); Glomus mosseae; Inoculation with AMF; mosseae G. obtained; Glomus mosseae inoculation,the biomass foliar; growth; pearl millet biomass,,,Agronomic; agricultural; food crops,pearl millet; millet; Pennisetum; glaucum,,Senegal
10.3389/fpls.2024.1385245,AMF phosphate-tolerant; high Pi; phosphate levels; high phosphate low; mycorrhizal inoculum; inoculate,fungal inoculum; Arbuscular mycorrhizal fungi (AMF),plant biomass; plant growth,,,agriculture,melon plants,,
10.1186/s12870-024-05032-5,co-application; in combination; Cd stress; Ri treatment; Se or AMF; Se fertilizer; alone; Cd; inoculation AMF; Se AMF; the combined Se combined with,arbuscular mycorrhizal fungi (AMF); A application experiment inoculation with two types of AMF,wheat growth communities; wheat biomass,Cd-contaminated soil,pot experiment,,wheat; wheat soil,,
10.3389/fmicb.2024.1288865,nitrogen levels; salt stress; without bacteria; with bacteria; low-nitrogen mg N0 normal-nitrogen N1; HNFB properties exogenous microbes; HNFB; low-nitrogen normal-nitrogen; Halotolerant nitrogen-fixing bacteria (HNFB); fertilizer high-nitrogen N2; nitrogen application; AMF; High-nitrogen treatment; HNFB treatment; biofertilizers; fertilizer mg high-nitrogen,arbuscular mycorrhizal fungi (AMF); subtilis; velezensis; HNFB inoculation; Bacillus,microbial biomass,saline soils,,crop,apple; apple plants,,
10.1016/j.micres.2024.127708,PGPB halophilic; same conditions; PGPB co-inoculation these; PGPB co-inoculation; the inoculation; the non-inoculated control; Co-inoculation; co-inoculation; the co-inoculation; PGPB; co-inoculated with R. clarus; the PGPB co-inoculated; NaCl; non-inoculated control,arbuscular mycorrhizal fungi (AMF); plant growth-promoting bacteria; Rhizophagus clarus; PGPB inoculation; the inoculation of PGPB 52; individual inoculation of PGPB; Inoculation with PGPB enclensis,dry mass; the growth; plant growth maize; growth maize yield; growth maize biomass; crop growth yield; plant biomass,soil salinization,,crop; crops worldwide,maize,,Brazil; Pernambuco State
10.1007/s00284-024-03662-4,unsterilized; Co-inoculation; AM; control; B. arboris with AM fungi; four inoculation; B. arboris + AM fungi; sterilized unsterilized; inoculation prior; AM fungi,arboris; AM inoculum; Arbuscular mycorrhizal (AM); arboris B.; fungi arboris arboris B. control,62.16 spores g<sup>-1</sup> soil; AM fungal production; root biomass; 80.85%; AM production was investigated microscopically (spore density and root colonization; plant growth; AM production,organic potting mix,a nursery,,soybean,,
10.1016/j.crmicr.2024.100229,5.0 µM; with without; SL; SL GR24 µM; the control; SLs; GR24; Strigolactones (SLs) SLs; phosphorus (P)-deficient; GR24 1.0 5.0 µM with inoculation; rhizospheric microbiome; GR24 with without; GR24 fungi inoculation; growth; AMF; AMF treated; SL GR24,arbuscular mycorrhizal fungi (AMF); AMF inoculum,growth rice; soil microbial biomass carbon (MBC; growth selected aerobic rice uptake activities; plant growth; growth effects priming,,,,rice,,
10.1590/1519-6984.276160,coarse sand SCS; treatments; without AMF; inoculation AMF; four AMF; cattle manure; inoculation; phosphate fertilization; MIX combination; phosphorus soil; inoculation control; AMF; three AMF; the inoculation; inoculation phosphorus; MIX; poultry manure; SCS; sheep manure; inoculation control etunicatum; without inoculation; control group; chicken manure,arbuscular mycorrhizal fungi (AMF); Rhizophagus heterosporum clarum; etunicatum clarum Gigaspora albida; Rhizophagus heterosporum; clarum Glomus; heterosporum clarum MIX R. specifically; Clareoideoglomus etunicatum; etunicatum Rhizophagus heterosporum clarum; Rhizophagus clarum; Gigaspora margarita; Clareoideoglomus etunicatum albida; heterosporum clarum R.; Gigaspora albida; AMF inoculation; clarum Gigaspora margarita; Clareoideoglomus etunicatum heterosporum MIX; clarum Glomus margarita albida,growth heightened; biomass; growth quality; the growth quality,S1 soil + coarse sand SCS,,,P. dubium; Peltophorum dubium,,
