STUDY,TREATMENT,RESPONSE,CARDINAL,PERCENTAGE,SENTENCE,ISTABLE
29291742,['treatments'],biomass,0.0001,,"We used plant dry biomass as a proxy for plant fit-
ness (Fig. Total plant dry weight (g) was significantly 
affected by percent colonization across treatments 
(P < 0.0001).",0
33893547,['treatments'],biomass,,70,"In the present study, some of the experimental 
conditions imposed (soil maintained above 70% of the water 
holding capacity essentially over the entire duration of the 
experiment; oat biomass incorporated in soil after being 
chopped to very small pieces; temperatures quite high and 
constantly increasing over the experimental period) were 
certainly favourable for microbial growth and activity in 
the Org treatments, and consequently, for decomposition of 
the OM (both the added crop residues and the soil native 
OM).",0
Semchenko2019,[],biomass,3.3,,"3.3 | Below‐ground biomass and root traits
The application of activated carbon significantly reduced root pro-
duction in communities composed of local genotypes but not in 
communities composed of mixed genotypes (interaction between 
the effects of community type and activated carbon F1,228  =  8.4, 
p = 0.004; Table 3, Figure 4a).",0
Semchenko2019,[],biomass,227,,"Degrees of freedom are 1 and 228 for numerator and denominator, respectively, except for graminoid biomass in the second and third year of the 
experiment where it was 227 and 226.",0
Semchenko2019,[],biomass,226,,"Degrees of freedom are 1 and 228 for numerator and denominator, respectively, except for graminoid biomass in the second and third year of the 
experiment where it was 227 and 226.",0
27287440,[],biomass,Xctl,,"For
Analysis Group 1, the effect size of inoculation was
quantified using a standardized, unitless measure of
performance in inoculated treatments relative to non-
inoculated controls [23], the log response ratio of inocu-
lated to non-inoculated plant biomass: ln(Xinoc/Xctl)
where Xinoc is the mean biomass in an inoculated treat-
ment and Xctl is the mean biomass in a non-inoculated
control.",0
27287440,[],biomass,Xctl,,"For
Analysis Group 1, the effect size of inoculation was
quantified using a standardized, unitless measure of
performance in inoculated treatments relative to non-
inoculated controls [23], the log response ratio of inocu-
lated to non-inoculated plant biomass: ln(Xinoc/Xctl)
where Xinoc is the mean biomass in an inoculated treat-
ment and Xctl is the mean biomass in a non-inoculated
control.",0
27287440,[],biomass,Xctl,,"For
Analysis Group 1, the effect size of inoculation was
quantified using a standardized, unitless measure of
performance in inoculated treatments relative to non-
inoculated controls [23], the log response ratio of inocu-
lated to non-inoculated plant biomass: ln(Xinoc/Xctl)
where Xinoc is the mean biomass in an inoculated treat-
ment and Xctl is the mean biomass in a non-inoculated
control.",0
21624119,[],biomass,2,,2) The highest concentrations of stilbenes were found in the belowground biomass of F. japonica.,0
21624119,[],biomass,1,,"Results
The biomass and chemical characteristics measured and
tested by ANOVA are shown in Table 1.",0
