STUDY,TREATMENT,RESPONSE,CARDINAL,PERCENTAGE,SENTENCE,ISTABLE
35410135,albizia odoratissima benth,mass,0.15,,initial mass g,99
35410135,cajanus cajan mill sp,mass,0.56,,initial mass g,99
38948452,171.0,dry biomass,3.71,,shoot dry biomass gplant nan amf,99
38948452,t2,dry biomass,7.95,,shoot dry biomass gplant nan amf,99
38948452,t3,dry biomass,9.01,,shoot dry biomass gplant nan amf,99
38948452,171.0,dry biomass,2.27,,root dry biomass gplant nan amf,99
38948452,t2,dry biomass,5.3,,root dry biomass gplant nan amf,99
38948452,t3,dry biomass,9.01,,root dry biomass gplant nan amf,99
38948452,17.0,dry biomass,3.74,,shoot dry biomass gplant nan 6.21 4.54 5.09,99
38948452,significance significance,dry biomass,05 .001 .001,,shoot dry biomass gplant nan 6.21 4.54 5.09,99
38948452,17.0,dry biomass,75.0,,root dry biomass gplant nan 9.10 8.34 8.18,99
38948452,significance significance,dry biomass,0.001 .001,,root dry biomass gplant nan 9.10 8.34 8.18,99
21222096,allium cepa,dry weight,1.24,,total dry weight g nm experiment 2006,99
21222096,allium fistulosum,dry weight,0.7,,total dry weight g nm experiment 2006,99
21222096,allium roylei,dry weight,0.54,,total dry weight g nm experiment 2006,99
21222096,rfhybrid,dry weight,1.2,,total dry weight g nm experiment 2006,99
21222096,allium cepa,dry weight,2.79,,total dry weight g am experiment 2006,99
21222096,allium fistulosum,dry weight,1.95,,total dry weight g am experiment 2006,99
21222096,allium roylei,dry weight,1.58,,total dry weight g am experiment 2006,99
21222096,rfhybrid,dry weight,2.88,,total dry weight g am experiment 2006,99
21222096,allium cepa,dry weight,1.55,,total dry weight g r experiment 2006,99
21222096,allium fistulosum,dry weight,1.25,,total dry weight g r experiment 2006,99
21222096,allium roylei,dry weight,1.04,,total dry weight g r experiment 2006,99
21222096,rfhybrid,dry weight,1.68,,total dry weight g r experiment 2006,99
21222096,allium cepa,dry weight,2.01,,total dry weight g ap experiment 2006,99
21222096,allium fistulosum,dry weight,1.33,,total dry weight g ap experiment 2006,99
21222096,allium roylei,dry weight,1.06,,total dry weight g ap experiment 2006,99
21222096,rfhybrid,dry weight,2.04,,total dry weight g ap experiment 2006,99
21222096,mean,dry weight,1.29,,total dry weight g nm trihybrid genotypes n  77,99
21222096,minimum,dry weight,0.45,,total dry weight g nm trihybrid genotypes n  77,99
21222096,maximum,dry weight,2.58,,total dry weight g nm trihybrid genotypes n  77,99
21222096,mean,dry weight,3.17,,total dry weight g am trihybrid genotypes n  77,99
21222096,minimum,dry weight,1.3,,total dry weight g am trihybrid genotypes n  77,99
21222096,maximum,dry weight,5.67,,total dry weight g am trihybrid genotypes n  77,99
21222096,mean,dry weight,1.88,,total dry weight g r trihybrid genotypes n  77,99
21222096,minimum,dry weight,0.23,,total dry weight g r trihybrid genotypes n  77,99
21222096,maximum,dry weight,3.89,,total dry weight g r trihybrid genotypes n  77,99
21222096,mean,dry weight,2.23,,total dry weight g ap trihybrid genotypes n  77,99
21222096,minimum,dry weight,1.19,,total dry weight g ap trihybrid genotypes n  77,99
21222096,maximum,dry weight,3.73,,total dry weight g ap trihybrid genotypes n  77,99
21222096,allium cepa,dry weight,2.0,,total dry weight g nm experiment 2007,99
